context: Heart response:	Stirring
context: Heart\Stirring response:	Pangs
context: Heart\Stirring\Pangs response:	Did you mean: Love?
context: Heart\Stirring\Pangs\Did you mean: Love? response:	Did you mean: Love?
context: Heart\Stirring\Pangs\Did you mean: Love?\Did you mean: Love? response:	Did you mean... love?
context: Heart\Stirring\Pangs\Did you mean: Love?\Did you mean: Love?\Did you mean... love? response:	No...
context: Heart\Stirring\Pangs\Did you mean: Love?\Did you mean: Love?\Did you mean... love?\No... response:	Impossible.
context: Heart\Stirring\Pangs\Did you mean: Love?\Did you mean: Love?\Did you mean... love?\No...\Impossible. response:	That's just...
context: Stirring\Pangs\Did you mean: Love?\Did you mean: Love?\Did you mean... love?\No...\Impossible.\That's just... response:	This Isn't the First Time
context: Pangs\Did you mean: Love?\Did you mean: Love?\Did you mean... love?\No...\Impossible.\That's just...\This Isn't the First Time response:	Hey there! Arata?
context: Did you mean: Love?\Did you mean: Love?\Did you mean... love?\No...\Impossible.\That's just...\This Isn't the First Time\Hey there! Arata? response:	How's your Golden Week going?
context: Did you mean: Love?\Did you mean... love?\No...\Impossible.\That's just...\This Isn't the First Time\Hey there! Arata?\How's your Golden Week going? response:	What do you want, Oga?
context: Did you mean... love?\No...\Impossible.\That's just...\This Isn't the First Time\Hey there! Arata?\How's your Golden Week going?\What do you want, Oga? response:	It's going nowhere. I'm just lying around at home.
context: No...\Impossible.\That's just...\This Isn't the First Time\Hey there! Arata?\How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home. response:	Oh, really?
context: Impossible.\That's just...\This Isn't the First Time\Hey there! Arata?\How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really? response:	Right now, I'm actually with An-chan...
context: That's just...\This Isn't the First Time\Hey there! Arata?\How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan... response:	Open up!
context: This Isn't the First Time\Hey there! Arata?\How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan...\Open up! response:	Huh? Hang on...
context: Hey there! Arata?\How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan...\Open up!\Huh? Hang on... response:	What are you doing here?!
context: How's your Golden Week going?\What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan...\Open up!\Huh? Hang on...\What are you doing here?! response:	I told you the other day
context: What do you want, Oga?\It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan...\Open up!\Huh? Hang on...\What are you doing here?!\I told you the other day response:	that we'd need to study over Golden Week!
context: It's going nowhere. I'm just lying around at home.\Oh, really?\Right now, I'm actually with An-chan...\Open up!\Huh? Hang on...\What are you doing here?!\I told you the other day\that we'd need to study over Golden Week! response:	Hello?
context: Oh, really?\Right now, I'm actually with An-chan...\Open up!\Huh? Hang on...\What are you doing here?!\I told you the other day\that we'd need to study over Golden Week!\Hello? response:	Gimme ten minutes!
context: Right now, I'm actually with An-chan...\Open up!\Huh? Hang on...\What are you doing here?!\I told you the other day\that we'd need to study over Golden Week!\Hello?\Gimme ten minutes! response:	Think he's got something he doesn't want us to see?
context: Open up!\Huh? Hang on...\What are you doing here?!\I told you the other day\that we'd need to study over Golden Week!\Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see? response:	Probably.
context: Huh? Hang on...\What are you doing here?!\I told you the other day\that we'd need to study over Golden Week!\Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably. response:	Damn it! If you're coming over, tell me first!
context: What are you doing here?!\I told you the other day\that we'd need to study over Golden Week!\Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first! response:	How do they even know where I live?!
context: I told you the other day\that we'd need to study over Golden Week!\Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?! response:	It reeks!
