context: Science Fell in Love, So I Tried to Prove It response:	Proof 11 Science-types Fell in Love, So They Tried Having a Fight.
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight. response:	Tell me...
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me... response:	What were you doing with Kanade-chan?
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan? response:	Yukimura-senpai!
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai! response:	Thank you so much for earlier.
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier. response:	Thanks to that, I was able to give my presentation...
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation... response:	Wait... Huh?
context: Science Fell in Love, So I Tried to Prove It\Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh? response:	I'm telling you, it wasn't like that!
context: Proof 11 Science-types Fell in Love, So They Tried Having a Fight.\Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that! response:	It was an emergency situation!
context: Tell me...\What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation! response:	So you're saying that if it's an emergency, it's fine?
context: What were you doing with Kanade-chan?\Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine? response:	There must have been another way!
