context: Don't! It's a whalesquid! Leave it alone! response:	Targeting accuracy is lower due to undersea conditions.
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions. response:	I'll hit it with my next one!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one! response:	Come back, Ledo!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo! response:	If that thing gets riled up, it'll become even more violent!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent! response:	Crap!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap! response:	Take this!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap!\Take this! response:	Charge next shot!
context: Don't! It's a whalesquid! Leave it alone!\Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap!\Take this!\Charge next shot! response:	Suggestion: Use of beam weapon undersea is inefficient.
context: Targeting accuracy is lower due to undersea conditions.\I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap!\Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient. response:	Possible damage to allied craft has also been taken into account.
context: I'll hit it with my next one!\Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap!\Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account. response:	In that case...
context: Come back, Ledo!\If that thing gets riled up, it'll become even more violent!\Crap!\Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case... response:	No!
context: If that thing gets riled up, it'll become even more violent!\Crap!\Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case...\No! response:	A Soldier's Fate
context: Crap!\Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case...\No!\A Soldier's Fate response:	Yo! Lookin' good!
context: Take this!\Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case...\No!\A Soldier's Fate\Yo! Lookin' good! response:	Knock it off. I'm in no laughing mood.
context: Charge next shot!\Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case...\No!\A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood. response:	That reminds me, the alien flew back in a little while ago.
context: Suggestion: Use of beam weapon undersea is inefficient.\Possible damage to allied craft has also been taken into account.\In that case...\No!\A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago. response:	He said he did in a whalesquid.
context: Possible damage to allied craft has also been taken into account.\In that case...\No!\A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid. response:	What did he do?!
context: In that case...\No!\A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?! response:	People have regarded whalesquids as sacred creatures since ancient times.
context: No!\A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times. response:	To murder one with no cause whatsoever...
context: A Soldier's Fate\Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever... response:	Ledo, what are you thinking?!
context: Yo! Lookin' good!\Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?! response:	The citizens are in shock and it's spreading fast.
context: Knock it off. I'm in no laughing mood.\That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast. response:	Rumors are even going around that this will bring on a curse.
context: That reminds me, the alien flew back in a little while ago.\He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse. response:	He's the one that started all this, right?
context: He said he did in a whalesquid.\What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right? response:	It's only natural for everyone to be anxious...
context: What did he do?!\People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious... response:	Seriously?!
context: People have regarded whalesquids as sacred creatures since ancient times.\To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?! response:	What's happening?
context: To murder one with no cause whatsoever...\Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?!\What's happening? response:	Even though it's just superstition...
context: Ledo, what are you thinking?!\The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?!\What's happening?\Even though it's just superstition... response:	I just hope that nothing comes of this...
context: The citizens are in shock and it's spreading fast.\Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?!\What's happening?\Even though it's just superstition...\I just hope that nothing comes of this... response:	Here.
context: Rumors are even going around that this will bring on a curse.\He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?!\What's happening?\Even though it's just superstition...\I just hope that nothing comes of this...\Here. response:	How long will it take?
context: He's the one that started all this, right?\It's only natural for everyone to be anxious...\Seriously?!\What's happening?\Even though it's just superstition...\I just hope that nothing comes of this...\Here.\How long will it take? response:	Estimate: Four hours for DNA amplification and analysis.
context: It's only natural for everyone to be anxious...\Seriously?!\What's happening?\Even though it's just superstition...\I just hope that nothing comes of this...\Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis. response:	Hurry.
context: Seriously?!\What's happening?\Even though it's just superstition...\I just hope that nothing comes of this...\Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry. response:	Roger.
context: What's happening?\Even though it's just superstition...\I just hope that nothing comes of this...\Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger. response:	However, chances that results will differ from the intrinsic reaction analysis are small.
context: Even though it's just superstition...\I just hope that nothing comes of this...\Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small. response:	I know.
context: I just hope that nothing comes of this...\Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know. response:	I want to find out if the Earth Hideauze have any unique characteristics.
context: Here.\How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics. response:	Roger.
context: How long will it take?\Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger. response:	The Hideauze have even invaded the Earth...
context: Estimate: Four hours for DNA amplification and analysis.\Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth... response:	Could I have brought them here from space?!
