context: During our battle with Oracion Seis, Happy and Wendy were captured! response:	To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy! response:	So that's why we split up and are searchin' for'em!
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em! response:	Wait for us, Happy, Wendy!
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy! response:	If it's love and dreams and you it'll become magical.
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: During our battle with Oracion Seis, Happy and Wendy were captured!\To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!\So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: So that's why we split up and are searchin' for'em!\Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: Wait for us, Happy, Wendy!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	This man is Jellal.
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal. response:	He once infiltrated the Council.
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council. response:	We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan! response:	Let's get them, real quick like, Gatou-niisan!
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan! response:	Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan! response:	You said that already, Gatou-niisan.
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan. response:	Did I, Zatou-niisan?
context: Now, let's cast a smile spell!\This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan? response:	Then we'll show them just how...
