context: Lady Laffinty. response:	This way! Over here!
context: Lady Laffinty.\This way! Over here! response:	Please wait, Lady Laffinty!
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty! response:	Oh, look at what we have here!
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here! response:	In the language of flowers,
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers, response:	the Lagrange stands for freedom, charm, and distraction.
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction. response:	Did you know that?
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that? response:	Lord Villagiulio?
context: Lady Laffinty.\This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio? response:	My apologies.
context: This way! Over here!\Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio?\My apologies. response:	I was just thinking of your older brother on that ship and...
context: Please wait, Lady Laffinty!\Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and... response:	Does De Metrio always send such young men off to war?
context: Oh, look at what we have here!\In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war? response:	No, your brother is an exception.
context: In the language of flowers,\the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception. response:	I don't like war.
