context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Where is Erza?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza? response:	Some people who claimed to be Erza's old pals
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals response:	appeared in front of us while we were at Akane beach on vacation.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation. response:	Long time no see... Sister.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation.\Long time no see... Sister. response:	And in no time at all...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation.\Long time no see... Sister.\And in no time at all... response:	It'll be all right! I'll yell it out countless times.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation.\Long time no see... Sister.\And in no time at all...\It'll be all right! I'll yell it out countless times. response:	I believe your every tomorrow will be shining.
context: and sit back from the screen,'kay?\Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation.\Long time no see... Sister.\And in no time at all...\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining. response:	The intersection of all people
context: Where is Erza?\Some people who claimed to be Erza's old pals\appeared in front of us while we were at Akane beach on vacation.\Long time no see... Sister.\And in no time at all...\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people response:	Never giving up. And that's why we're not gonna lose!
