context: A customer booked a tour, and she specifically requested me! response:	It's time to show how much you've learned from your training.
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training. response:	Please do your best.
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best. response:	Okay!
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best.\Okay! response:	If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay? response:	Okay!
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay! response:	Or you could always escape by sculling backwards at full speed.
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed. response:	Okay!
context: A customer booked a tour, and she specifically requested me!\It's time to show how much you've learned from your training.\Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed.\Okay! response:	Uh, no...
context: It's time to show how much you've learned from your training.\Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no... response:	Dear Ai, ever since the end of Carnevale,
context: Please do your best.\Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale, response:	spring has been coming ever closer to Neo-Venezia.
context: Okay!\If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia. response:	Good job.
context: If you're ever in trouble, just shift your wonderful power into overdrive and do your best, okay?\Okay!\Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job. response:	That was really fun!
context: Okay!\Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun! response:	Here, please take my hand.
context: Or you could always escape by sculling backwards at full speed.\Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun!\Here, please take my hand. response:	Thank you.
context: Okay!\Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun!\Here, please take my hand.\Thank you. response:	Now that the tourist season is over, we Undines aren't as busy anymore.
context: Uh, no...\Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun!\Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore. response:	We have one more appointment left today.
context: Dear Ai, ever since the end of Carnevale,\spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun!\Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today. response:	Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.
context: spring has been coming ever closer to Neo-Venezia.\Good job.\That was really fun!\Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet. response:	Hello, this is the Aria Company.
context: Good job.\That was really fun!\Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company. response:	Eh? P-Pardon me.
context: That was really fun!\Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me. response:	Yes, we will be waiting for you.
context: Here, please take my hand.\Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you. response:	Well then, I'll see you tomorrow.
context: Thank you.\Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow. response:	My, my. What's the matter?
context: Now that the tourist season is over, we Undines aren't as busy anymore.\We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter? response:	Umm...
context: We have one more appointment left today.\Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm... response:	It was a booking request.
context: Tomorrow, we have one appointment in the morning, but none in the afternoon as of yet.\Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm...\It was a booking request. response:	And the customer said she'd like me to be her guide.
context: Hello, this is the Aria Company.\Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm...\It was a booking request.\And the customer said she'd like me to be her guide. response:	Oh, my!
context: Eh? P-Pardon me.\Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm...\It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my! response:	Congratulations, Akari.
context: Yes, we will be waiting for you.\Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm...\It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari. response:	You'll have to work hard tomorrow.
context: Well then, I'll see you tomorrow.\My, my. What's the matter?\Umm...\It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow. response:	Yes! I'll do my best!
context: My, my. What's the matter?\Umm...\It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best! response:	Do you remember that day Oboeteimasuka ano hi o
context: Umm...\It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: It was a booking request.\And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: And the customer said she'd like me to be her guide.\Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Oh, my!\Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Congratulations, Akari.\You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: You'll have to work hard tomorrow.\Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: Yes! I'll do my best!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	That Smiling Customer...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer... response:	No big springtime yawns allowed!
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed! response:	Right! Sorry... No big springtime yawns allowed!
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed! response:	Right! Sorry...
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry... response:	It's just that I couldn't decide today's route until this morning.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning. response:	That customer sounds suspicious.
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious. response:	Eh? How so?
