context: A long, long time ago, we gods came down to this world response:	the world of you, our children
context: A long, long time ago, we gods came down to this world\the world of you, our children response:	seeking excitement.
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement. response:	And we decided that we would
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement.\And we decided that we would response:	live here with you forever in the lower world.
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement.\And we decided that we would\live here with you forever in the lower world. response:	We decided to seal away our divine power,
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement.\And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power, response:	and enjoy life with all the hardship and inconvenience that it entails.
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement.\And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails. response:	Whew.
context: A long, long time ago, we gods came down to this world\the world of you, our children\seeking excitement.\And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew. response:	the power to fight monsters, what we call our blessing.
context: the world of you, our children\seeking excitement.\And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing. response:	The children given this power become our servants,
context: seeking excitement.\And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants, response:	our familia.
context: And we decided that we would\live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia. response:	In other words,
context: live here with you forever in the lower world.\We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia.\In other words, response:	you are my servant.
context: We decided to seal away our divine power,\and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia.\In other words,\you are my servant. response:	You are the only member of the Hestia Familia.
context: and enjoy life with all the hardship and inconvenience that it entails.\Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia.\In other words,\you are my servant.\You are the only member of the Hestia Familia. response:	Are you listening, Bell?
context: Whew.\the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia.\In other words,\you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell? response:	Bell?
context: the power to fight monsters, what we call our blessing.\The children given this power become our servants,\our familia.\In other words,\you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell? response:	Hey...
context: The children given this power become our servants,\our familia.\In other words,\you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell?\Hey... response:	Are you all right?
context: our familia.\In other words,\you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell?\Hey...\Are you all right? response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
