context: Once upon a time, there was a man who died. response:	The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven. response:	When the man died, the raven and the prince escaped from within the story.
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story. response:	The prince took out his own heart to seal away the raven,
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven, response:	but it was a forbidden power that had been granted solely to the prince.
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince. response:	The raven was completely sealed away,
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away, response:	but the prince's heart was shattered
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered response:	and the shards scattered all across town.
context: Once upon a time, there was a man who died.\The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town. response:	Ever since then, in this town, stories and reality have intermingled,
context: The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.\When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled, response:	and it became a world where the fantastical was no longer fantastical.
context: When the man died, the raven and the prince escaped from within the story.\The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical. response:	A dream? Where am I?
context: The prince took out his own heart to seal away the raven,\but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I? response:	What am I doing here?
context: but it was a forbidden power that had been granted solely to the prince.\The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here? response:	What?
context: The raven was completely sealed away,\but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here?\What? response:	Quack!
context: but the prince's heart was shattered\and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here?\What?\Quack! response:	Huh?! What?! Huh?! No way! No way!
context: and the shards scattered all across town.\Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here?\What?\Quack!\Huh?! What?! Huh?! No way! No way! response:	No way! No way! No way!
context: Ever since then, in this town, stories and reality have intermingled,\and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here?\What?\Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way! response:	Quack...
context: and it became a world where the fantastical was no longer fantastical.\A dream? Where am I?\What am I doing here?\What?\Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack... response:	I'm just a duck. And I thought I was a girl.
context: A dream? Where am I?\What am I doing here?\What?\Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl. response:	When I saved Mytho-senpai, was that a dream?
context: What am I doing here?\What?\Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream? response:	Quack! Could it be that this is a dream right now?!
context: What?\Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?! response:	Neither is a dream, Little Duck.
context: Quack!\Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck. response:	Quack! Quack, quack, quack!
