context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon, gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon, gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J response:	J Our courage will pull us through You teach me and I'll teach you J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J response:	J Pokemon, gotta catch'em all Gotta catch'em all J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J response:	J Pokemon J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J response:	Once again, we join our hero, Ash
context: J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash response:	on his continuing quest to become a Pokemon Master.
context: J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash\on his continuing quest to become a Pokemon Master. response:	With his friends Brock, Misty and Pikachu,
context: J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash\on his continuing quest to become a Pokemon Master.\With his friends Brock, Misty and Pikachu, response:	Ash's next adventure is on the horizon.
context: J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash\on his continuing quest to become a Pokemon Master.\With his friends Brock, Misty and Pikachu,\Ash's next adventure is on the horizon. response:	- Wow. look at those rocks. -Pi.
context: J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash\on his continuing quest to become a Pokemon Master.\With his friends Brock, Misty and Pikachu,\Ash's next adventure is on the horizon.\- Wow. look at those rocks. -Pi. response:	That's a long drop.
context: J Pokemon, gotta catch'em all Gotta catch'em all J\J Pokemon J\Once again, we join our hero, Ash\on his continuing quest to become a Pokemon Master.\With his friends Brock, Misty and Pikachu,\Ash's next adventure is on the horizon.\- Wow. look at those rocks. -Pi.\That's a long drop. response:	Fall from here and the ball game's over.
