context: What are you two doing? response:	Crown Prince has issued an order. There will be a wedding in a few days.
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days. response:	Aside from the palace's people, nobody else is to enter.
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter. response:	Impudence!
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence! response:	How dare you block my lady's way?
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way? response:	Consort Su Jin has long been bestowed in marriage by Heavenly Lord.
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord. response:	She will be moving into Xiwu Palace in less than half a month.
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month. response:	Are you two not afraid of the consequences?
context: What are you two doing?\Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences? response:	We are freshly returned from the battlefield.
context: Crown Prince has issued an order. There will be a wedding in a few days.\Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield. response:	We have been used to mindlessly drifting around the world.
context: Aside from the palace's people, nobody else is to enter.\Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world. response:	We really do not know the rules in the Nine Heavens.
context: Impudence!\How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens. response:	If we have offended you two ladies, please understand.
context: How dare you block my lady's way?\Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand. response:	Not lady, but consort. Consort Su Jin.
context: Consort Su Jin has long been bestowed in marriage by Heavenly Lord.\She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin. response:	It is of no matter. No wonder the two of you look so new.
context: She will be moving into Xiwu Palace in less than half a month.\Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new. response:	After I move into Xiwu Palace, we'll all be familiar with each other.
context: Are you two not afraid of the consequences?\We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other. response:	- Farewell, Your Highness. - Farewell, Your Highness.
context: We are freshly returned from the battlefield.\We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness. response:	Be careful.
context: We have been used to mindlessly drifting around the world.\We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful. response:	Thank you.
context: We really do not know the rules in the Nine Heavens.\If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you. response:	No, there was a wonderful peach blossom scent around the lady.
context: If we have offended you two ladies, please understand.\Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady. response:	It is the scent of my peach tree woods.
context: Not lady, but consort. Consort Su Jin.\It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods. response:	She must be tied to Bai Qian in some way.
context: It is of no matter. No wonder the two of you look so new.\After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way. response:	I must make another trip to the Celestial Palace.
context: After I move into Xiwu Palace, we'll all be familiar with each other.\- Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace. response:	Bi Fang!
