context: You're strong! Enough that I would even say marvelously so. response:	Why, thank you.
context: You're strong! Enough that I would even say marvelously so.\Why, thank you. response:	However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion. response:	Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me? response:	It would be a shame to have to wipe out all that power you have.
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have. response:	You would be able to do work so much better than Commander Ginyu.
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu. response:	You've got to be kidding. You really expect me to accept that offer?
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer? response:	I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.
context: You're strong! Enough that I would even say marvelously so.\Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools. response:	Well, there is only one route left for you to take. Just death.
context: Why, thank you.\However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death. response:	We'll see. It won't be so easy.
context: However, I am growing tired of this fight. I'm thinking it's about time to bring it to a conclusion.\Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy. response:	Such confidence! But I am aware of what you're doing. While you say you're being serious,
context: Before the end, let me ask you, just in case. How about it? Wouldn't you like to work underneath me?\It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious, response:	you're still keeping back a good deal of your power.
context: It would be a shame to have to wipe out all that power you have.\You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power. response:	My secret's out, is it?
context: You would be able to do work so much better than Commander Ginyu.\You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it? response:	Keeping that in mind, the way I figure it,
context: You've got to be kidding. You really expect me to accept that offer?\I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it, response:	using about 50 percent, or in other words, half of my max power,
context: I thought you would say that. You Saiyans as a group are stubborn to the point of being fools.\Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power, response:	I can turn you into space dust!
context: Well, there is only one route left for you to take. Just death.\We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust! response:	What!?
context: We'll see. It won't be so easy.\Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!? response:	That's a bit of an exaggeration! You're trying to feed me too large a bluff.
context: Such confidence! But I am aware of what you're doing. While you say you're being serious,\you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff. response:	It's been fun.
context: you're still keeping back a good deal of your power.\My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun. response:	It's been quite a long time since I've had this kind of exercise.
context: My secret's out, is it?\Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise. response:	W- What's going on? Those two are just staring at each other now.
context: Keeping that in mind, the way I figure it,\using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now. response:	Both of them are searching for the right timing to begin again.
context: using about 50 percent, or in other words, half of my max power,\I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again. response:	Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.
context: I can turn you into space dust!\What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone. response:	Father can win this, right?
context: What!?\That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right? response:	There's no way we can tell.
context: That's a bit of an exaggeration! You're trying to feed me too large a bluff.\It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell. response:	Their power is particularly greater than anything we can comprehend.
context: It's been fun.\It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend. response:	That's true.
context: It's been quite a long time since I've had this kind of exercise.\W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true. response:	Yahoo!
context: W- What's going on? Those two are just staring at each other now.\Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo! response:	H- Hey, you! I'm not this poor a pilot!
context: Both of them are searching for the right timing to begin again.\Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot! response:	Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?
context: Besides which, it feels like we're about to be crushed by both of their tremendous Ki alone.\Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!? response:	Everything that's happened to me, it's all those guys' fault!
context: Father can win this, right?\There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault! response:	H- Hey you, what are you doing!?
context: There's no way we can tell.\Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!? response:	Hurry up and give me my body back!
context: Their power is particularly greater than anything we can comprehend.\That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back! response:	I can't see in front of us!
context: That's true.\Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us! response:	Look out!
context: Yahoo!\H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us!\Look out! response:	T- That was perfect!
context: H- Hey, you! I'm not this poor a pilot!\Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us!\Look out!\T- That was perfect! response:	B- Bulma-san!
context: Why is it, with all my beauty and glamour, and my super-cute face, that I have be turned into a frog!?\Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us!\Look out!\T- That was perfect!\B- Bulma-san! response:	B- Bulma-san, why have you come here? It's extremely dangerous!
context: Everything that's happened to me, it's all those guys' fault!\H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us!\Look out!\T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous! response:	Bulma-san?
context: H- Hey you, what are you doing!?\Hurry up and give me my body back!\I can't see in front of us!\Look out!\T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san? response:	Huh? What's that?
context: Hurry up and give me my body back!\I can't see in front of us!\Look out!\T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that? response:	Goku and Freeza are over there...
context: I can't see in front of us!\Look out!\T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that?\Goku and Freeza are over there... response:	What?
context: Look out!\T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that?\Goku and Freeza are over there...\What? response:	Bulma-san, you shouldn't go there!
context: T- That was perfect!\B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that?\Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there! response:	T- That's Freeza-sama?
context: B- Bulma-san!\B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that?\Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama? response:	It's a shame. It really is a shame.
context: B- Bulma-san, why have you come here? It's extremely dangerous!\Bulma-san?\Huh? What's that?\Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame. response:	If you were to become one of my men, wonderful things would await you every day.
context: Bulma-san?\Huh? What's that?\Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day. response:	King Vegeta, Vegeta...
context: Huh? What's that?\Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta... response:	Every single one of them, so terribly obstinate.
context: Goku and Freeza are over there...\What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate. response:	Dammit...
context: What?\Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit... response:	That's what cost them their lives.
context: Bulma-san, you shouldn't go there!\T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives. response:	H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!
context: T- That's Freeza-sama?\It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power! response:	After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?
context: It's a shame. It really is a shame.\If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza? response:	Fantastic!
context: If you were to become one of my men, wonderful things would await you every day.\King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic! response:	Bulma-san...
context: King Vegeta, Vegeta...\Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san... response:	That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!
context: Every single one of them, so terribly obstinate.\Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand! response:	All right! Nice!
context: Dammit...\That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice! response:	Ah, I get it! You're...
context: That's what cost them their lives.\H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're... response:	You've finally gotten it, huh!?
context: H- How marvelous! Freeza-sama's body is responding spontaneously to Goku's power!\After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!? response:	You're that Ginyu guy!
