context: What is this? response:	It's a statement from the group responsible for the attacks.
context: What is this?\It's a statement from the group responsible for the attacks. response:	They're demanding public recognition of contractors,
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors, response:	as well as greater authority and rights as contractors.
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors. response:	Is this really what they said?
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said? response:	I don't know. However, there's no denying that acts of terrorism have been committed
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed response:	and that a group called the Evening Primrose exists.
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists. response:	Evening Primrose...
context: What is this?\It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose... response:	Is BK201 related to them in any way?
context: It's a statement from the group responsible for the attacks.\They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way? response:	Kirihara, what I'm about to tell you is strictly confidential.
context: They're demanding public recognition of contractors,\as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential. response:	Don't tell anyone.
context: as well as greater authority and rights as contractors.\Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone. response:	Sir!
context: Is this really what they said?\I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir! response:	The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.
context: I don't know. However, there's no denying that acts of terrorism have been committed\and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001. response:	Five years ago, she was in the front lines at Heaven's Gate.
context: and that a group called the Evening Primrose exists.\Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate. response:	It didn't look like he went out to see an ex-girlfriend.
context: Evening Primrose...\Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend. response:	Did he look like a man who wanted revenge?
context: Is BK201 related to them in any way?\Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge? response:	Officials were concerned that he still had feelings for her,
context: Kirihara, what I'm about to tell you is strictly confidential.\Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her, response:	but it seems they were worried about nothing.
context: Don't tell anyone.\Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing. response:	I guess we should observe him a little longer.
context: Sir!\The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer. response:	What happened between those two?
context: The leader of this terrorist group is a former MI6 conspirator known as February, Messier Code UB001.\Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two? response:	It's best you don't know for your own sake.
context: Five years ago, she was in the front lines at Heaven's Gate.\It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake. response:	I guess it can't be helped. I'll give you a hint.
context: It didn't look like he went out to see an ex-girlfriend.\Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint. response:	Hei was betrayed by that woman,
context: Did he look like a man who wanted revenge?\Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman, response:	and the rest of his team died in South America.
context: Officials were concerned that he still had feelings for her,\but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America. response:	The first star ever recorded at that time was hers.
context: but it seems they were worried about nothing.\I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers. response:	A myriad of stars began to shine as if they were reacting to her.
context: I guess we should observe him a little longer.\What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her. response:	Included in that group was BK201.
context: What happened between those two?\It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201. response:	Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.
context: It's best you don't know for your own sake.\I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth. response:	Cheers!
context: I guess it can't be helped. I'll give you a hint.\Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers! response:	Hey, you guys! That's enough!
context: Hei was betrayed by that woman,\and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough! response:	There's no hope for any of you if you start drinking during the day.
context: and the rest of his team died in South America.\The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day. response:	What are you talking about?
context: The first star ever recorded at that time was hers.\A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about? response:	Drinking while the sun's out
context: A myriad of stars began to shine as if they were reacting to her.\Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out response:	is what the gusto of life is all about!
context: Included in that group was BK201.\Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about! response:	Geez...
context: Immediately following that incident, a 1,500 kilometer radius of South America disappeared from the face of the Earth.\Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about!\Geez... response:	My, off to work?
context: Cheers!\Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about!\Geez...\My, off to work? response:	Yes.
context: Hey, you guys! That's enough!\There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about!\Geez...\My, off to work?\Yes. response:	It's good to know that you have your priorities in order, Li-san.
context: There's no hope for any of you if you start drinking during the day.\What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about!\Geez...\My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san. response:	Not really.
context: What are you talking about?\Drinking while the sun's out\is what the gusto of life is all about!\Geez...\My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san.\Not really. response:	Hey, handsome! Why don't you join us?
context: Drinking while the sun's out\is what the gusto of life is all about!\Geez...\My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us? response:	Ah, sorry... I have to go.
context: is what the gusto of life is all about!\Geez...\My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go. response:	Why not? Live a little!
context: Geez...\My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little! response:	Hey! Don't drag an honest young man like him into your worthless lifestyle!
context: My, off to work?\Yes.\It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle! response:	Come on, now! On your feet! Go! Meeting adjourned! Move! Go!
context: Yes.\It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go! response:	Party crasher.
context: It's good to know that you have your priorities in order, Li-san.\Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher. response:	Sir, please wait!
