context: Howwonderful itwould be, to be like Hakim... response:	Sometimes, I'm jealous of him.
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him. response:	Episode 5 The Dinner Party
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party response:	Come now, you have to stay still.
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still. response:	Try not to move.
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move. response:	It's harder than I expected.
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move.\It's harder than I expected. response:	It can't be helped. These things take time...
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move.\It's harder than I expected.\It can't be helped. These things take time... response:	Was I asleep...?
context: Howwonderful itwould be, to be like Hakim...\Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move.\It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...? response:	I had a dream just now.
context: Sometimes, I'm jealous of him.\Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move.\It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...?\I had a dream just now. response:	A dream, ma'am?
context: Episode 5 The Dinner Party\Come now, you have to stay still.\Try not to move.\It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...?\I had a dream just now.\A dream, ma'am? response:	To have dreamt of him...
context: Come now, you have to stay still.\Try not to move.\It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...?\I had a dream just now.\A dream, ma'am?\To have dreamt of him... response:	How many years has it been?
context: Try not to move.\It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...?\I had a dream just now.\A dream, ma'am?\To have dreamt of him...\How many years has it been? response:	My mistress married when she was 18.
context: It's harder than I expected.\It can't be helped. These things take time...\Was I asleep...?\I had a dream just now.\A dream, ma'am?\To have dreamt of him...\How many years has it been?\My mistress married when she was 18. response:	She Iost her husband when she was 20, becoming a widow.
context: It can't be helped. These things take time...\Was I asleep...?\I had a dream just now.\A dream, ma'am?\To have dreamt of him...\How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow. response:	She has no children.
context: Was I asleep...?\I had a dream just now.\A dream, ma'am?\To have dreamt of him...\How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children. response:	After working as a governess for 30 years, she retired,
context: I had a dream just now.\A dream, ma'am?\To have dreamt of him...\How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired, response:	and has Iived here ever since.
context: A dream, ma'am?\To have dreamt of him...\How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since. response:	Thank you. It has gotten a bit cold.
context: To have dreamt of him...\How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold. response:	My mistress rarely talks about her past.
context: How many years has it been?\My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past. response:	That's all I really know of it.
context: My mistress married when she was 18.\She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it. response:	Emma.
context: She Iost her husband when she was 20, becoming a widow.\She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it.\Emma. response:	Mr. and Mrs. Knox will be joining me for dinner tonight.
context: She has no children.\After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight. response:	Eh?
context: After working as a governess for 30 years, she retired,\and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh? response:	How is it, do we have enough?
context: and has Iived here ever since.\Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough? response:	I think we'll be all right. It all depends on the menu, though.
context: Thank you. It has gotten a bit cold.\My mistress rarely talks about her past.\That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though. response:	I see... I can't believe I invited them, and then forgot...
context: My mistress rarely talks about her past.\That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot... response:	Honestly. It's fortunate that I remembered.
context: That's all I really know of it.\Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered. response:	Let's see, there's the coke...
context: Emma.\Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke... response:	Oh yes, and candles need to be brought out.
context: Mr. and Mrs. Knox will be joining me for dinner tonight.\Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out. response:	Do we still have some?
context: Eh?\How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some? response:	Ah, right away, ma'am.
context: How is it, do we have enough?\I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am. response:	It's all right, I'll set the table. You just concentrate on dinner.
context: I think we'll be all right. It all depends on the menu, though.\I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner. response:	Do the best you can, dear.
context: I see... I can't believe I invited them, and then forgot...\Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear. response:	Yes, ma'am.
