context: Listen up, everyone. response:	I'm putting Chihaya in the number three position.
context: Listen up, everyone.\I'm putting Chihaya in the number three position. response:	Huh?
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh? response:	In the regional final,
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final, response:	Hokuo went with even match-ups across the board.
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board. response:	Do we really want to dodge our opponents?
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents? response:	Chihaya, you just have to win.
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win. response:	Bring home the win!
context: Listen up, everyone.\I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win! response:	Victory for Mizusawa!
context: I'm putting Chihaya in the number three position.\Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa! response:	Yeah!
context: Huh?\In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah! response:	But...
context: In the regional final,\Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But... response:	1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B
context: Hokuo went with even match-ups across the board.\Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B response:	Akashi Girls might change up their order.
context: Do we really want to dodge our opponents?\Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order. response:	I didn't mention this...
context: Chihaya, you just have to win.\Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this... response:	I didn't mention this...
