context: Science Fell in Love, So I Tried to Prove It response:	Gone Home
context: Science Fell in Love, So I Tried to Prove It\Gone Home response:	4th dimension
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension response:	In Lab
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab response:	Rm 507
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507 response:	On Campus
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus response:	Lecture Hall
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall response:	Really, you really saved me there, Ibarada-kun.
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun. response:	Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.
context: Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love. response:	Thanks to you, I wasn't late to the department meeting.
context: 4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting. response:	Won't you please buy an alarm clock that won't break when you hit it already?
context: In Lab\Rm 507\On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already? response:	Blast it!
context: Rm 507\On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it! response:	No measly CPU is gonna...
context: On Campus\Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna... response:	Take this!
context: Lecture Hall\Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna...\Take this! response:	I died!
context: Really, you really saved me there, Ibarada-kun.\Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna...\Take this!\I died! response:	Kosuke-kun,
context: Proof 8 Science-types Fell in Love, So They Tried to Gather Evidence of Love.\Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna...\Take this!\I died!\Kosuke-kun, response:	what are you doing?
context: Thanks to you, I wasn't late to the department meeting.\Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna...\Take this!\I died!\Kosuke-kun,\what are you doing? response:	Brace yourself!
context: Won't you please buy an alarm clock that won't break when you hit it already?\Blast it!\No measly CPU is gonna...\Take this!\I died!\Kosuke-kun,\what are you doing?\Brace yourself! response:	Oh! Using a star there isn't playing fair!
