context: An asteroid named VR-1 is approaching Earth. response:	It is approximately two kilometers in diameter.
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter. response:	The asteroid that supposedly drove dinosaurs to extinction
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction response:	is estimated at about ten kilometers in diameter.
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter. response:	You can easily imagine the damage that will be caused
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused response:	if VR-1 hits Earth.
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth. response:	It has been widely reported by organizations internationally
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally response:	that the possibility of a direct impact is highly impossible,
context: An asteroid named VR-1 is approaching Earth.\It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible, response:	but those are all lies!
context: It is approximately two kilometers in diameter.\The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies! response:	A collision is imminent,
context: The asteroid that supposedly drove dinosaurs to extinction\is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent, response:	and it will happen on the 31st of December at 11:55 P.M.
context: is estimated at about ten kilometers in diameter.\You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M. response:	However, the U.S. government and the other leading nations
context: You can easily imagine the damage that will be caused\if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations response:	have conspired to hide the truth.
context: if VR-1 hits Earth.\It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth. response:	Why?
context: It has been widely reported by organizations internationally\that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why? response:	Because they have formed a secret agreement between themselves!
context: that the possibility of a direct impact is highly impossible,\but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves! response:	These so-called leaders have been evacuating
context: but those are all lies!\A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating response:	into nuclear shelters that have been kept secret from us.
context: A collision is imminent,\and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us. response:	They fear riots will occur if the existence of the shelters is made public.
context: and it will happen on the 31st of December at 11:55 P.M.\However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public. response:	They plan to save only themselves,
context: However, the U.S. government and the other leading nations\have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves, response:	leaving the rest of the world to die.
context: have conspired to hide the truth.\Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die. response:	We will not allow for such conspiracy!
context: Why?\Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy! response:	We want the U.S. and Japanese government to disclose the truth, immediately!
context: Because they have formed a secret agreement between themselves!\These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately! response:	That is the demand from us, the Qmay Group!
context: These so-called leaders have been evacuating\into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group! response:	Showdown! What is the Qmay Group?!
context: into nuclear shelters that have been kept secret from us.\They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?! response:	Nonsense. VR-1 colliding with Earth? Impossible.
context: They fear riots will occur if the existence of the shelters is made public.\They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible. response:	It's their doomsday philosophies that are the threat.
context: They plan to save only themselves,\leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat. response:	Qmay Group members believe in the end of the world.
context: leaving the rest of the world to die.\We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world. response:	No, they may be trying to make it happen themselves,
