context: A healthy soul... response:	Run!
context: A healthy soul...\Run! response:	It's the Black Dragon!
context: A healthy soul...\Run!\It's the Black Dragon! response:	The Black Dragon has come!
context: A healthy soul...\Run!\It's the Black Dragon!\The Black Dragon has come! response:	This is a free fansub. Not for sale or rent.
context: A healthy soul...\Run!\It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent. response:	Life's rough due to m a n y reasons these days.
context: A healthy soul...\Run!\It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days. response:	The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.
context: A healthy soul...\Run!\It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter. response:	This week, God is going...
context: A healthy soul...\Run!\It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going... response:	What exactly will he be butchering?
context: Run!\It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering? response:	That's for you to find out.
context: It's the Black Dragon!\The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering?\That's for you to find out. response:	What's wrong?
context: The Black Dragon has come!\This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering?\That's for you to find out.\What's wrong? response:	Would you row properly?
context: This is a free fansub. Not for sale or rent.\Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering?\That's for you to find out.\What's wrong?\Would you row properly? response:	Why did you ask for a rowboat?
context: Life's rough due to m a n y reasons these days.\The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering?\That's for you to find out.\What's wrong?\Would you row properly?\Why did you ask for a rowboat? response:	Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!
context: The cost-of-living has increased, business is decreasing, and global warming is also a serious matter.\This week, God is going...\What exactly will he be butchering?\That's for you to find out.\What's wrong?\Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?! response:	Stop complaining.
context: This week, God is going...\What exactly will he be butchering?\That's for you to find out.\What's wrong?\Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining. response:	Besides, we've already reached our destination.
context: What exactly will he be butchering?\That's for you to find out.\What's wrong?\Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination. response:	Besides, we've already reached our destination.
context: That's for you to find out.\What's wrong?\Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination. response:	Destination?
context: What's wrong?\Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination? response:	Looks like a pretty good village.
context: Would you row properly?\Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination?\Looks like a pretty good village. response:	It's pretty calm...
context: Why did you ask for a rowboat?\Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination?\Looks like a pretty good village.\It's pretty calm... response:	I wonder about that...
context: Couldn't you have gotten us a chartered ship or a cruise ship or something with an engine?!\Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination?\Looks like a pretty good village.\It's pretty calm...\I wonder about that... response:	What do you mean?
context: Stop complaining.\Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination?\Looks like a pretty good village.\It's pretty calm...\I wonder about that...\What do you mean? response:	Look there...
context: Besides, we've already reached our destination.\Besides, we've already reached our destination.\Destination?\Looks like a pretty good village.\It's pretty calm...\I wonder about that...\What do you mean?\Look there... response:	What's that?
context: Besides, we've already reached our destination.\Destination?\Looks like a pretty good village.\It's pretty calm...\I wonder about that...\What do you mean?\Look there...\What's that? response:	A few days ago, something ate this city and its souls.
context: Destination?\Looks like a pretty good village.\It's pretty calm...\I wonder about that...\What do you mean?\Look there...\What's that?\A few days ago, something ate this city and its souls. response:	A few days ago, something ate this city and its souls.
context: Looks like a pretty good village.\It's pretty calm...\I wonder about that...\What do you mean?\Look there...\What's that?\A few days ago, something ate this city and its souls.\A few days ago, something ate this city and its souls. response:	The whole town?
context: It's pretty calm...\I wonder about that...\What do you mean?\Look there...\What's that?\A few days ago, something ate this city and its souls.\A few days ago, something ate this city and its souls.\The whole town? response:	Don't tell me that our investigation is...
context: I wonder about that...\What do you mean?\Look there...\What's that?\A few days ago, something ate this city and its souls.\A few days ago, something ate this city and its souls.\The whole town?\Don't tell me that our investigation is... response:	Let's go...
context: What do you mean?\Look there...\What's that?\A few days ago, something ate this city and its souls.\A few days ago, something ate this city and its souls.\The whole town?\Don't tell me that our investigation is...\Let's go... response:	We need to ask around.
context: Look there...\What's that?\A few days ago, something ate this city and its souls.\A few days ago, something ate this city and its souls.\The whole town?\Don't tell me that our investigation is...\Let's go...\We need to ask around. response:	What happened in this village?
