context: I'll plunge this world into darkness! response:	That's as far as you go, Devil Count!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count! response:	Ugh... This lame theme song... It's Justice Man!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man! response:	That hero's getting in the way at the good part again!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again! response:	You can do it! I believe in you, Devil Earl!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl! response:	Kick Justice Man's butt!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt! response:	Justice Punch!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch! response:	Dang it! He lost again!
context: I'll plunge this world into darkness!\That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again! response:	When will there be a monster that can defeat Justice Man?
context: That's as far as you go, Devil Count!\Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man? response:	Huh?
context: Ugh... This lame theme song... It's Justice Man!\That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh? response:	Heroes don't lose to anyone?
context: That hero's getting in the way at the good part again!\You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone? response:	But why?
context: You can do it! I believe in you, Devil Earl!\Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone?\But why? response:	Justice always prevails?
