context: Sakura Hall response:	Let's Make a Game! Pitch
context: Sakura Hall\Let's Make a Game! Pitch response:	I fell asleep...?
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...? response:	Good morning, kouhai-kun!
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun! response:	What are you painting on my walls?!
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?! response:	It's the Milky Way Cat, Nyapollon!
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon! response:	Nyapollon?
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon? response:	It's a character from a full-length anime series that...
context: Sakura Hall\Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that... response:	I've been working on since I was in kindergarten!
context: Let's Make a Game! Pitch\I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten! response:	That...
context: I fell asleep...?\Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That... response:	He's a weapon designed to protect Earth from the Nyangoro space invaders.
context: Good morning, kouhai-kun!\What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders. response:	After they beat their first Nyangoro invader,
context: What are you painting on my walls?!\It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader, response:	they study it, cultivate its cells...
context: It's the Milky Way Cat, Nyapollon!\Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells... response:	and warp space-time to create a hybrid robot!
context: Nyapollon?\It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot! response:	However, it can only be piloted by someone...
context: It's a character from a full-length anime series that...\I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone... response:	who has experienced the worst life has to offer!
context: I've been working on since I was in kindergarten!\That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer! response:	What a ridiculous plot.
context: That...\He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot. response:	Nekoko, the heroine, has a boyfriend, Nekosuke,
