context: The first semester's finally over... response:	Okumura!
context: The first semester's finally over...\Okumura! response:	Konekomaru!
context: The first semester's finally over...\Okumura!\Konekomaru! response:	It looks like most of the normal students are going home.
context: The first semester's finally over...\Okumura!\Konekomaru!\It looks like most of the normal students are going home. response:	You're all from Kyoto, right?
context: The first semester's finally over...\Okumura!\Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right? response:	That's so nice and elegant...
context: The first semester's finally over...\Okumura!\Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant... response:	What's so elegant about that? It's totally normal.
context: The first semester's finally over...\Okumura!\Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal. response:	I'm not sure we're going home eith -
context: The first semester's finally over...\Okumura!\Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith - response:	Izumo, you should go home too if you have the time.
context: Okumura!\Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time. response:	Yeah, if I feel like it.
context: Konekomaru!\It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it. response:	You're going home too, Paku? We'll be so lonely...
context: It looks like most of the normal students are going home.\You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely... response:	We'll meet again next semester.
context: You're all from Kyoto, right?\That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester. response:	Take care.
context: That's so nice and elegant...\What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care. response:	If you start missing my voice, just give me a call.
context: What's so elegant about that? It's totally normal.\I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call. response:	You idiot!
context: I'm not sure we're going home eith -\Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call.\You idiot! response:	Thanks.
context: Izumo, you should go home too if you have the time.\Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call.\You idiot!\Thanks. response:	Finally the fun summer is here.
context: Yeah, if I feel like it.\You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call.\You idiot!\Thanks.\Finally the fun summer is here. response:	That's what I'd like to say, but you Esquires will now take part
context: You're going home too, Paku? We'll be so lonely...\We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call.\You idiot!\Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part response:	in a three-day long combat training camp.
context: We'll meet again next semester.\Take care.\If you start missing my voice, just give me a call.\You idiot!\Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp. response:	I and professor Kirigakure here will be watching over you.
context: Take care.\If you start missing my voice, just give me a call.\You idiot!\Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you. response:	Yoohoo.
context: If you start missing my voice, just give me a call.\You idiot!\Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo. response:	This training camp is also a test to see if you are fit to take part in missions.
context: You idiot!\Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions. response:	So put your spirit into it!
context: Thanks.\Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it! response:	Yessir!
context: Finally the fun summer is here.\That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir! response:	Whoa, this feels like a picnic! I'm so excited!
context: That's what I'd like to say, but you Esquires will now take part\in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited! response:	In the evening we can have a campfire and dance and...
context: in a three-day long combat training camp.\I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and... response:	Umm, what's Shima doing...?
context: I and professor Kirigakure here will be watching over you.\Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...? response:	He can't stand bugs. He's always been like that.
context: Yoohoo.\This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that. response:	It's so hot...
context: This training camp is also a test to see if you are fit to take part in missions.\So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot... response:	This is so heavy...
context: So put your spirit into it!\Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy... response:	This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.
context: Yessir!\Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons. response:	We must set up our camp before that.
context: Whoa, this feels like a picnic! I'm so excited!\In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that. response:	Let's hurry.
context: In the evening we can have a campfire and dance and...\Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry. response:	What the hell? Doesn't this heat get to him at all?
