context: Do you know what it means to dis Sabertooth? response:	I'm going to teach you with her body!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body! response:	Stop this!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! response:	She'll destroy the Celestial Spirit wizard!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard! response:	Stop the competition!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition! response:	The referee has stopped it!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it! response:	The competition is over!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over! response:	The winner is Minerva!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva! response:	Sabertooth really is strong!
context: I'm going to teach you with her body!\Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong! response:	Lucy hasn't moved for a while, but is she okay?!
context: Stop this!\She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?! response:	Lucy!
context: She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy! response:	Are you okay?!
context: Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?! response:	Hang in there!
context: The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?!\Hang in there! response:	How could you do this to her, you witch?!
context: The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?!\Hang in there!\How could you do this to her, you witch?! response:	Get the Celestial Spirit Wizard to the infirmary immediately!
context: The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?!\Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately! response:	No! I'll give her emergency treatment first!
context: Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?!\Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first! response:	I'll help you!
context: Lucy hasn't moved for a while, but is she okay?!\Lucy!\Are you okay?!\Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you! response:	Lucy, hang in there!
