context: Let me go! Please, let me go! response:	I don't even know Vegeta!
context: Let me go! Please, let me go!\I don't even know Vegeta! response:	Even if you take me to Freeza, there's nothing I can tell him!
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him! response:	Which would mean...
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean... response:	I'm done for.
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for. response:	Thinking back, my life has been a series of hardships...
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships... response:	No! No, no, no!
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no! response:	I don't want to die here! Let me go!
context: Let me go! Please, let me go!\I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go! response:	Hey, calm down!
context: I don't even know Vegeta!\Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down! response:	For crying out loud, what a handful she is.
context: Even if you take me to Freeza, there's nothing I can tell him!\Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is. response:	There are still some things we have to ask you. We can't let you die so easily.
context: Which would mean...\I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily. response:	How many times do I have to tell you before you get it!?
context: I'm done for.\Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!? response:	I don't have anything besides that Dragon Ball!
context: Thinking back, my life has been a series of hardships...\No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball! response:	We'll see.
context: No! No, no, no!\I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see. response:	I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.
context: I don't want to die here! Let me go!\Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama. response:	So, why is it that Freeza- sama started collecting these Balls, anyhow?
context: Hey, calm down!\For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow? response:	Beats me. It's probably something lower-rank soldiers like us don't need to know.
context: For crying out loud, what a handful she is.\There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know. response:	Don't you guys have the slightest idea what the Dragon Balls are?
context: There are still some things we have to ask you. We can't let you die so easily.\How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are? response:	Let's go.
context: How many times do I have to tell you before you get it!?\I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go. response:	Y- you dummies.
context: I don't have anything besides that Dragon Ball!\We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies. response:	When you get the Dragon Balls together, something fantastic happens.
context: We'll see.\I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens. response:	You don't say.
context: I wonder how well you'll be able to feign ignorance like this in front of Freeza- sama.\So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say. response:	It's true! The Dragon Balls are amazing things that can grant any wish!
context: So, why is it that Freeza- sama started collecting these Balls, anyhow?\Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish! response:	Stop talking nonsense!
context: Beats me. It's probably something lower-rank soldiers like us don't need to know.\Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense! response:	It isn't nonsense!
context: Don't you guys have the slightest idea what the Dragon Balls are?\Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense! response:	If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!
context: Let's go.\Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's! response:	What?
context: Y- you dummies.\When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!\What? response:	I- it's true. That's why everyone is so desperate for them, you know.
context: When you get the Dragon Balls together, something fantastic happens.\You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!\What?\I- it's true. That's why everyone is so desperate for them, you know. response:	Hey, Buleberry, we don't have time to listen to her hogwash.
context: You don't say.\It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!\What?\I- it's true. That's why everyone is so desperate for them, you know.\Hey, Buleberry, we don't have time to listen to her hogwash. response:	So, wouldn't it be better if you guys left me alone,
context: It's true! The Dragon Balls are amazing things that can grant any wish!\Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!\What?\I- it's true. That's why everyone is so desperate for them, you know.\Hey, Buleberry, we don't have time to listen to her hogwash.\So, wouldn't it be better if you guys left me alone, response:	and went off to gather the Dragon Balls?
context: Stop talking nonsense!\It isn't nonsense!\If you bring the seven Dragon Balls together, you could have power beyond even Freeza's!\What?\I- it's true. That's why everyone is so desperate for them, you know.\Hey, Buleberry, we don't have time to listen to her hogwash.\So, wouldn't it be better if you guys left me alone,\and went off to gather the Dragon Balls? response:	H- hey!
