context: Being called response:	Welome home, Master.
context: Being called\Welome home, Master. response:	How about another serving?
context: Being called\Welome home, Master.\How about another serving? response:	Become tasty!
context: Being called\Welome home, Master.\How about another serving?\Become tasty! response:	Kyun pa!
context: Being called\Welome home, Master.\How about another serving?\Become tasty!\Kyun pa! response:	I cast the magic spell to make it tasty.
context: Being called\Welome home, Master.\How about another serving?\Become tasty!\Kyun pa!\I cast the magic spell to make it tasty. response:	Dere... please take your time.
context: Being called\Welome home, Master.\How about another serving?\Become tasty!\Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time. response:	Hey, what are you doing, you slacker?
context: Being called\Welome home, Master.\How about another serving?\Become tasty!\Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker? response:	Hey, Idiot-Chicken!
context: Welome home, Master.\How about another serving?\Become tasty!\Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken! response:	Humph...
context: How about another serving?\Become tasty!\Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph... response:	I will go out on a journey for a while.
context: Become tasty!\Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while. response:	I will go out on a journey for a while
context: Kyun pa!\I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while.\I will go out on a journey for a while response:	Come on, wash it already.
context: I cast the magic spell to make it tasty.\Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already. response:	Since this is work.
context: Dere... please take your time.\Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already.\Since this is work. response:	Don't tell me...
context: Hey, what are you doing, you slacker?\Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already.\Since this is work.\Don't tell me... response:	Who would've guessed that your part time job would be at a place like this?
context: Hey, Idiot-Chicken!\Humph...\I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already.\Since this is work.\Don't tell me...\Who would've guessed that your part time job would be at a place like this? response:	What do you mean? It's not like I'm working here because I like it.
context: Humph...\I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already.\Since this is work.\Don't tell me...\Who would've guessed that your part time job would be at a place like this?\What do you mean? It's not like I'm working here because I like it. response:	I see.
context: I will go out on a journey for a while.\I will go out on a journey for a while\Come on, wash it already.\Since this is work.\Don't tell me...\Who would've guessed that your part time job would be at a place like this?\What do you mean? It's not like I'm working here because I like it.\I see. response:	The pay here is nice, and I get to wear cute clothes.
context: I will go out on a journey for a while\Come on, wash it already.\Since this is work.\Don't tell me...\Who would've guessed that your part time job would be at a place like this?\What do you mean? It's not like I'm working here because I like it.\I see.\The pay here is nice, and I get to wear cute clothes. response:	Even though you're a terrible bunny, you sure have pretty girly reasons, don't you.
context: Come on, wash it already.\Since this is work.\Don't tell me...\Who would've guessed that your part time job would be at a place like this?\What do you mean? It's not like I'm working here because I like it.\I see.\The pay here is nice, and I get to wear cute clothes.\Even though you're a terrible bunny, you sure have pretty girly reasons, don't you. response:	What is your problem? You should be thanking me!
