context: There she is now. response:	I wonder what's wrong. Hina? That's you, right?
context: There she is now.\I wonder what's wrong. Hina? That's you, right? response:	Hina?
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina? response:	Rei...
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina?\Rei... response:	Sis...
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina?\Rei...\Sis... response:	Hina!
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina?\Rei...\Sis...\Hina! response:	Ladybug Bush (Part 2)
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina?\Rei...\Sis...\Hina!\Ladybug Bush (Part 2) response:	These were the circumstances.
context: There she is now.\I wonder what's wrong. Hina? That's you, right?\Hina?\Rei...\Sis...\Hina!\Ladybug Bush (Part 2)\These were the circumstances. response:	There was bullying going on in Hina's class.
context: I wonder what's wrong. Hina? That's you, right?\Hina?\Rei...\Sis...\Hina!\Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class. response:	It began suddenly in April, when the now third-year classes switched,
context: Hina?\Rei...\Sis...\Hina!\Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched, response:	splitting up into groups based on names in alphabetical order.
context: Rei...\Sis...\Hina!\Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order. response:	You're such a pest.
context: Sis...\Hina!\Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest. response:	Wh-Why?
context: Hina!\Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why? response:	The victim was scared...
context: Ladybug Bush (Part 2)\These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why?\The victim was scared... response:	It started a vicious circle.
context: These were the circumstances.\There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why?\The victim was scared...\It started a vicious circle. response:	The girl's name was Chiho.
context: There was bullying going on in Hina's class.\It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why?\The victim was scared...\It started a vicious circle.\The girl's name was Chiho. response:	She and Hina were classmates since elementary school
context: It began suddenly in April, when the now third-year classes switched,\splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why?\The victim was scared...\It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school response:	and always gotten along well.
context: splitting up into groups based on names in alphabetical order.\You're such a pest.\Wh-Why?\The victim was scared...\It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well. response:	Chiho was a really cute, kind, and quiet girl who always smiled.
context: You're such a pest.\Wh-Why?\The victim was scared...\It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled. response:	The third year began, and entrance exams were looming.
context: Wh-Why?\The victim was scared...\It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming. response:	When everyone was in the grip of a nameless anxiety,
context: The victim was scared...\It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety, response:	they said she was flirting with boys,
