context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Eye of the Midnight Sun's Secret
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret response:	I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest response:	has cured Asta's arms.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms. response:	Such wonderful news. I was so worried, I couldn't slee
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms.\Such wonderful news. I was so worried, I couldn't slee response:	I mean, never mind!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms.\Such wonderful news. I was so worried, I couldn't slee\I mean, never mind! response:	I had no trouble sleeping at all!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms.\Such wonderful news. I was so worried, I couldn't slee\I mean, never mind!\I had no trouble sleeping at all! response:	I mean, you two were so worried, but I'm sure you're both relieved now.
context: He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms.\Such wonderful news. I was so worried, I couldn't slee\I mean, never mind!\I had no trouble sleeping at all!\I mean, you two were so worried, but I'm sure you're both relieved now. response:	I wasn't worried about him.
context: The Eye of the Midnight Sun's Secret\I'm sure you've heard, but apparently the Queen of Witches from the Witches' Forest\has cured Asta's arms.\Such wonderful news. I was so worried, I couldn't slee\I mean, never mind!\I had no trouble sleeping at all!\I mean, you two were so worried, but I'm sure you're both relieved now.\I wasn't worried about him. response:	Neither was I!
