context: Signs response:	OP
context: Signs\OP response:	ED
context: Signs\OP\ED response:	Inserts
context: Signs\OP\ED\Inserts response:	It's morning?!
context: Signs\OP\ED\Inserts\It's morning?! response:	I'm off to the club room.
context: Signs\OP\ED\Inserts\It's morning?!\I'm off to the club room. response:	See you!
context: Signs\OP\ED\Inserts\It's morning?!\I'm off to the club room.\See you! response:	Bye-bye!
context: Signs\OP\ED\Inserts\It's morning?!\I'm off to the club room.\See you!\Bye-bye! response:	Sky high!
context: OP\ED\Inserts\It's morning?!\I'm off to the club room.\See you!\Bye-bye!\Sky high! response:	This feels wrong.
context: ED\Inserts\It's morning?!\I'm off to the club room.\See you!\Bye-bye!\Sky high!\This feels wrong. response:	This isn't the music that Afterschool Teatime is supposed to play!
context: Inserts\It's morning?!\I'm off to the club room.\See you!\Bye-bye!\Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play! response:	But... this is the path I want to take.
context: It's morning?!\I'm off to the club room.\See you!\Bye-bye!\Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take. response:	What?!
context: I'm off to the club room.\See you!\Bye-bye!\Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?! response:	Screw you, Yui! Screw you, Yui! Screw you, Yui!
context: See you!\Bye-bye!\Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui! response:	Please! Stop it!
context: Bye-bye!\Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it! response:	Umm... Did something happen?
context: Sky high!\This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen? response:	The light music club might get disbanded...
context: This feels wrong.\This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded... response:	Disbanded? Why would you do that now?
context: This isn't the music that Afterschool Teatime is supposed to play!\But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now? response:	We all want the club to head different ways.
context: But... this is the path I want to take.\What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways. response:	It's the difference between our musicianship, Azu-nyan!
context: What?!\Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan! response:	Musicianship? Oh, please!
context: Screw you, Yui! Screw you, Yui! Screw you, Yui!\Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please! response:	How could you talk about musicianship when you forget three chords to learn a new one?
context: Please! Stop it!\Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one? response:	Says the girl who fell and flashed her panties on stage.
context: Umm... Did something happen?\The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage. response:	That's got nothing to do with this!
context: The light music club might get disbanded...\Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this! response:	Wait, weren't we talking about musicianship?
context: Disbanded? Why would you do that now?\We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship? response:	What do you think, Azusa-chan?
context: We all want the club to head different ways.\It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan? response:	Oh! Well...
context: It's the difference between our musicianship, Azu-nyan!\Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well... response:	I think the songs we play are supposed to be happy and cheerful!
context: Musicianship? Oh, please!\How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful! response:	To be frank...
context: How could you talk about musicianship when you forget three chords to learn a new one?\Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank... response:	Maintaining this cute and fluffy image has gotten...
context: Says the girl who fell and flashed her panties on stage.\That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten... response:	quite tiresome!
context: That's got nothing to do with this!\Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome! response:	I don't want to hear that from you!
context: Wait, weren't we talking about musicianship?\What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you! response:	You joined and was all like,
context: What do you think, Azusa-chan?\Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you!\You joined and was all like, response:	The light music club plays light music, right?
context: Oh! Well...\I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right? response:	And now you want us to play Iron Maiden?!
context: I think the songs we play are supposed to be happy and cheerful!\To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?! response:	Maiden?
context: To be frank...\Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden? response:	You said that anything's fine as long as we take it easy!
context: Maintaining this cute and fluffy image has gotten...\quite tiresome!\I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy! response:	Let's play old maid?
context: quite tiresome!\I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid? response:	TL Note: Old maid is a Japanese card game
context: I don't want to hear that from you!\You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game response:	Don't be stupid, Azusa!
context: You joined and was all like,\The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa! response:	This is a matter of the club's life and death!
context: The light music club plays light music, right?\And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death! response:	Azu-nyan.
context: And now you want us to play Iron Maiden?!\Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan. response:	Yes?
context: Maiden?\You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan.\Yes? response:	Let's play later.
context: You said that anything's fine as long as we take it easy!\Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan.\Yes?\Let's play later. response:	You joined but you can't play guitar! You don't even play harmonica!
context: Let's play old maid?\TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan.\Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica! response:	Mhmph! I can play harmonica!
context: TL Note: Old maid is a Japanese card game\Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan.\Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica! response:	Really? Then try playing it.
context: Don't be stupid, Azusa!\This is a matter of the club's life and death!\Azu-nyan.\Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it. response:	Sorry, I can't.
context: This is a matter of the club's life and death!\Azu-nyan.\Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it.\Sorry, I can't. response:	This is ridiculous!
context: Azu-nyan.\Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it.\Sorry, I can't.\This is ridiculous! response:	Huh? Mugi?
context: Yes?\Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it.\Sorry, I can't.\This is ridiculous!\Huh? Mugi? response:	Mugi?
context: Let's play later.\You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it.\Sorry, I can't.\This is ridiculous!\Huh? Mugi?\Mugi? response:	Ultimately, it's your fault for bringing sweets!
context: You joined but you can't play guitar! You don't even play harmonica!\Mhmph! I can play harmonica!\Really? Then try playing it.\Sorry, I can't.\This is ridiculous!\Huh? Mugi?\Mugi?\Ultimately, it's your fault for bringing sweets! response:	You ate the most.
