context: now response:	Ruka-chan Still up?
context: now\Ruka-chan Still up? response:	Groan
context: now\Ruka-chan Still up?\Groan response:	Ruka-chan
context: now\Ruka-chan Still up?\Groan\Ruka-chan response:	Goodnight
context: now\Ruka-chan Still up?\Groan\Ruka-chan\Goodnight response:	Night
context: now\Ruka-chan Still up?\Groan\Ruka-chan\Goodnight\Night response:	Sweet dreams
context: now\Ruka-chan Still up?\Groan\Ruka-chan\Goodnight\Night\Sweet dreams response:	ty
context: now\Ruka-chan Still up?\Groan\Ruka-chan\Goodnight\Night\Sweet dreams\ty response:	Sleep already
context: Ruka-chan Still up?\Groan\Ruka-chan\Goodnight\Night\Sweet dreams\ty\Sleep already response:	ya
context: Groan\Ruka-chan\Goodnight\Night\Sweet dreams\ty\Sleep already\ya response:	Still up?
context: Ruka-chan\Goodnight\Night\Sweet dreams\ty\Sleep already\ya\Still up? response:	She's no girlfriend!
context: Goodnight\Night\Sweet dreams\ty\Sleep already\ya\Still up?\She's no girlfriend! response:	Average Sleep: 3hrs/day
context: Night\Sweet dreams\ty\Sleep already\ya\Still up?\She's no girlfriend!\Average Sleep: 3hrs/day response:	But only if you go out with me, Kazuya-kun!
context: Sweet dreams\ty\Sleep already\ya\Still up?\She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun! response:	Ruka-chan offered me a deal...
context: ty\Sleep already\ya\Still up?\She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal... response:	Go out with her.
context: Sleep already\ya\Still up?\She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her. response:	Huh?
context: ya\Still up?\She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her.\Huh? response:	And on Mizuhara's orders, I found myself dating her on a provisional basis.
context: Still up?\She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis. response:	Weekly Dates
context: She's no girlfriend!\Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates response:	Meanwhile, I stopped seeing Mizuhara completely,
context: Average Sleep: 3hrs/day\But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely, response:	and the frosty winter began to set in.
context: But only if you go out with me, Kazuya-kun!\Ruka-chan offered me a deal...\Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in. response:	Now
context: Ruka-chan offered me a deal...\Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now response:	You have a new message.
context: Go out with her.\Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now\You have a new message. response:	Where are you?
context: Huh?\And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now\You have a new message.\Where are you? response:	Mizuhara
context: And on Mizuhara's orders, I found myself dating her on a provisional basis.\Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: Weekly Dates\Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: Meanwhile, I stopped seeing Mizuhara completely,\and the frosty winter began to set in.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: and the frosty winter began to set in.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
