context: Let's follow him. response:	Zelada?
context: Let's follow him.\Zelada? response:	He's gonna use that bomb. And right now, too.
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too. response:	Stay close to me, Kei.
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei. response:	I'm the only one who can spot the enemy's ambush.
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush. response:	If you're my partner, trust me.
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me. response:	Got it.
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it. response:	Leahyah!
context: Let's follow him.\Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it.\Leahyah! response:	Wait! It's a trap!
context: Zelada?\He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it.\Leahyah!\Wait! It's a trap! response:	But I have to go!
context: He's gonna use that bomb. And right now, too.\Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it.\Leahyah!\Wait! It's a trap!\But I have to go! response:	You're right but... Damn it!
context: Stay close to me, Kei.\I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it.\Leahyah!\Wait! It's a trap!\But I have to go!\You're right but... Damn it! response:	I don't know what the hell to do with this thing.
context: I'm the only one who can spot the enemy's ambush.\If you're my partner, trust me.\Got it.\Leahyah!\Wait! It's a trap!\But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing. response:	Then smash it!
context: If you're my partner, trust me.\Got it.\Leahyah!\Wait! It's a trap!\But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it! response:	It may blow up if I mess with it.
context: Got it.\Leahyah!\Wait! It's a trap!\But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it. response:	How do I disarm this?
context: Leahyah!\Wait! It's a trap!\But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it.\How do I disarm this? response:	Is it even a bomb?
context: Wait! It's a trap!\But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb? response:	What a reckless effort!
context: But I have to go!\You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb?\What a reckless effort! response:	I can assure you, for your own safety, it's best to run.
context: You're right but... Damn it!\I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run. response:	Damn you!
context: I don't know what the hell to do with this thing.\Then smash it!\It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you! response:	When I see a guy with a grin like yours,
context: Then smash it!\It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours, response:	nothing makes my day more than messing up his plans.
context: It may blow up if I mess with it.\How do I disarm this?\Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans. response:	Oh, my... You know you're helpless.
context: How do I disarm this?\Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless. response:	Shut up!
context: Is it even a bomb?\What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up! response:	See? You're helpless.
context: What a reckless effort!\I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up!\See? You're helpless. response:	It's an illusion!
context: I can assure you, for your own safety, it's best to run.\Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up!\See? You're helpless.\It's an illusion! response:	Above!
context: Damn you!\When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up!\See? You're helpless.\It's an illusion!\Above! response:	Kei!
context: When I see a guy with a grin like yours,\nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up!\See? You're helpless.\It's an illusion!\Above!\Kei! response:	Too bad, Sir Matoba!
context: nothing makes my day more than messing up his plans.\Oh, my... You know you're helpless.\Shut up!\See? You're helpless.\It's an illusion!\Above!\Kei!\Too bad, Sir Matoba! response:	You've lost once more.
context: Oh, my... You know you're helpless.\Shut up!\See? You're helpless.\It's an illusion!\Above!\Kei!\Too bad, Sir Matoba!\You've lost once more. response:	Now, on to the next one...
context: Shut up!\See? You're helpless.\It's an illusion!\Above!\Kei!\Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one... response:	This is so much fun!
context: See? You're helpless.\It's an illusion!\Above!\Kei!\Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one...\This is so much fun! response:	Where is he? Damn it.
context: It's an illusion!\Above!\Kei!\Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one...\This is so much fun!\Where is he? Damn it. response:	I can't see him.
context: Above!\Kei!\Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one...\This is so much fun!\Where is he? Damn it.\I can't see him. response:	No, don't rely on your eyes.
context: Kei!\Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one...\This is so much fun!\Where is he? Damn it.\I can't see him.\No, don't rely on your eyes. response:	Sound. Focus on the sound.
context: Too bad, Sir Matoba!\You've lost once more.\Now, on to the next one...\This is so much fun!\Where is he? Damn it.\I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound. response:	The sound...
context: You've lost once more.\Now, on to the next one...\This is so much fun!\Where is he? Damn it.\I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound.\The sound... response:	Over there?
context: Now, on to the next one...\This is so much fun!\Where is he? Damn it.\I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound.\The sound...\Over there? response:	What?
context: This is so much fun!\Where is he? Damn it.\I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound.\The sound...\Over there?\What? response:	Oh! The pain...!
context: Where is he? Damn it.\I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound.\The sound...\Over there?\What?\Oh! The pain...! response:	Well done.
context: I can't see him.\No, don't rely on your eyes.\Sound. Focus on the sound.\The sound...\Over there?\What?\Oh! The pain...!\Well done. response:	It's been 103 years since I've been wounded like this.
context: No, don't rely on your eyes.\Sound. Focus on the sound.\The sound...\Over there?\What?\Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this. response:	Stop talking and prepare to die, monster!
context: Sound. Focus on the sound.\The sound...\Over there?\What?\Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster! response:	No, I'm afraid it would bring shame upon the Marzaney Sect
context: The sound...\Over there?\What?\Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect response:	if I were to die at the hands of a mere barshe.
context: Over there?\What?\Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe. response:	And thus...
context: What?\Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus... response:	Farewell!
context: Oh! The pain...!\Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus...\Farewell! response:	Kei!
context: Well done.\It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus...\Farewell!\Kei! response:	I defeated Zelada. But I don't have any elixirs to heal you.
context: It's been 103 years since I've been wounded like this.\Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus...\Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you. response:	I'm sorry.
context: Stop talking and prepare to die, monster!\No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus...\Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry. response:	R-Run...
context: No, I'm afraid it would bring shame upon the Marzaney Sect\if I were to die at the hands of a mere barshe.\And thus...\Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run... response:	There's no time.
context: if I were to die at the hands of a mere barshe.\And thus...\Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run...\There's no time. response:	I'm going to spend the last moments of my life with her.
context: And thus...\Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run...\There's no time.\I'm going to spend the last moments of my life with her. response:	You should be grateful.
context: Farewell!\Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run...\There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful. response:	I've decided to die next to an uncouth, boorish, and sarcastic man like you.
context: Kei!\I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run...\There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you. response:	I'd rather... you didn't...
context: I defeated Zelada. But I don't have any elixirs to heal you.\I'm sorry.\R-Run...\There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't... response:	My dear Leahyah...
context: I'm sorry.\R-Run...\There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah... response:	Like I promised, I've come to save you.
context: R-Run...\There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you. response:	When I was a child, lost in the forest, you saved me and showed me the way home.
context: There's no time.\I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home. response:	Remember what we promised then?
context: I'm going to spend the last moments of my life with her.\You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then? response:	That we'd always be friends.
context: You should be grateful.\I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends. response:	That's why I came. I came, like I said I would.
context: I've decided to die next to an uncouth, boorish, and sarcastic man like you.\I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would. response:	I didn't let you die alone.
context: I'd rather... you didn't...\My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone. response:	So Leahyah, don't be scared. Let's stay together.
