context: Blooming wildflower response:	I beg you, please tell me
context: Blooming wildflower\I beg you, please tell me response:	Why do people fight and hurt each other
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other response:	Valiantly blooming flower
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower response:	What can you see from your field?
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field? response:	Why can't people forgive each other
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other response:	The rain passed, and summer took on blue hues
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues response:	All alone now
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now response:	You trembled before me
context: I beg you, please tell me\Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now\You trembled before me response:	Without saying a word
context: Why do people fight and hurt each other\Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now\You trembled before me\Without saying a word response:	When your friends wilt around you
context: Valiantly blooming flower\What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now\You trembled before me\Without saying a word\When your friends wilt around you response:	What do you think?
context: What can you see from your field?\Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now\You trembled before me\Without saying a word\When your friends wilt around you\What do you think? response:	With your leaves unable to speak
context: Why can't people forgive each other\The rain passed, and summer took on blue hues\All alone now\You trembled before me\Without saying a word\When your friends wilt around you\What do you think?\With your leaves unable to speak response:	How do you convey love?
context: The rain passed, and summer took on blue hues\All alone now\You trembled before me\Without saying a word\When your friends wilt around you\What do you think?\With your leaves unable to speak\How do you convey love? response:	Summer's sun clouded over, the wind streamed by
context: All alone now\You trembled before me\Without saying a word\When your friends wilt around you\What do you think?\With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by response:	The two overlapped
context: You trembled before me\Without saying a word\When your friends wilt around you\What do you think?\With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped response:	I shall sing the proof that you lived
context: Without saying a word\When your friends wilt around you\What do you think?\With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived response:	For the sake of those who have no names
context: When your friends wilt around you\What do you think?\With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names response:	I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi
context: What do you think?\With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi response:	Danger
