context: So, you are the Black King and his subjects. response:	You said you would destroy the humans. You boasted so boldly.
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly. response:	You tamed the winged dragons that we ruled,
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled, response:	and treated them like your own pets...
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets... response:	You are underestimating us.
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us. response:	I am the Black King.
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us.\I am the Black King. response:	If you intend to join my alliance, you may take your place in line.
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line. response:	How dare you speak in such an arrogant manner to this Bronze Dragon?!
context: So, you are the Black King and his subjects.\You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?! response:	Who the hell you think you are?!
context: You said you would destroy the humans. You boasted so boldly.\You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?! response:	I don't care who you are.
context: You tamed the winged dragons that we ruled,\and treated them like your own pets...\You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are. response:	It matters not to me whoever or whatever you are.
context: and treated them like your own pets...\You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are. response:	To me, you are no different from a single starving Goblin child.
context: You are underestimating us.\I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child. response:	Look over here, you ragged fool!
context: I am the Black King.\If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool! response:	We shall tear you into rags to match your robe.
context: If you intend to join my alliance, you may take your place in line.\How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe. response:	Stop!
context: How dare you speak in such an arrogant manner to this Bronze Dragon?!\Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop! response:	Will you follow us, or will you die with them?
context: Who the hell you think you are?!\I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them? response:	You may no longer stand on the fence, Bronze.
context: I don't care who you are.\It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze. response:	Respond to me, Bronze!
context: It matters not to me whoever or whatever you are.\To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze! response:	Cease! Stop! Stop it!
context: To me, you are no different from a single starving Goblin child.\Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it! response:	All right, the alliance...
context: Look over here, you ragged fool!\We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance... response:	I will join your alliance.
