context: Signs response:	Ending Romaji
context: Signs\Ending Romaji response:	Ending English
context: Signs\Ending Romaji\Ending English response:	Signs
context: Signs\Ending Romaji\Ending English\Signs response:	Signs
context: Signs\Ending Romaji\Ending English\Signs\Signs response:	They're similar, yet different
context: Signs\Ending Romaji\Ending English\Signs\Signs\They're similar, yet different response:	- mandarins, oranges;
context: Signs\Ending Romaji\Ending English\Signs\Signs\They're similar, yet different\- mandarins, oranges; response:	friends, lovers -
context: Signs\Ending Romaji\Ending English\Signs\Signs\They're similar, yet different\- mandarins, oranges;\friends, lovers - response:	as are the hearts of two people.
context: Ending Romaji\Ending English\Signs\Signs\They're similar, yet different\- mandarins, oranges;\friends, lovers -\as are the hearts of two people. response:	I didn't want to be hurt,
context: Ending English\Signs\Signs\They're similar, yet different\- mandarins, oranges;\friends, lovers -\as are the hearts of two people.\I didn't want to be hurt, response:	so I ran away.
context: Signs\Signs\They're similar, yet different\- mandarins, oranges;\friends, lovers -\as are the hearts of two people.\I didn't want to be hurt,\so I ran away. response:	But then, even the light
context: Signs\They're similar, yet different\- mandarins, oranges;\friends, lovers -\as are the hearts of two people.\I didn't want to be hurt,\so I ran away.\But then, even the light response:	didn't shine for me.
context: They're similar, yet different\- mandarins, oranges;\friends, lovers -\as are the hearts of two people.\I didn't want to be hurt,\so I ran away.\But then, even the light\didn't shine for me. response:	They're are miracles, aren't they?
context: - mandarins, oranges;\friends, lovers -\as are the hearts of two people.\I didn't want to be hurt,\so I ran away.\But then, even the light\didn't shine for me.\They're are miracles, aren't they? response:	And meetings and love,
context: friends, lovers -\as are the hearts of two people.\I didn't want to be hurt,\so I ran away.\But then, even the light\didn't shine for me.\They're are miracles, aren't they?\And meetings and love, response:	and seeds and buds,
context: as are the hearts of two people.\I didn't want to be hurt,\so I ran away.\But then, even the light\didn't shine for me.\They're are miracles, aren't they?\And meetings and love,\and seeds and buds, response:	and even the fruits that are yet unripe?
context: I didn't want to be hurt,\so I ran away.\But then, even the light\didn't shine for me.\They're are miracles, aren't they?\And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe? response:	The orange colour
context: so I ran away.\But then, even the light\didn't shine for me.\They're are miracles, aren't they?\And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe?\The orange colour response:	reminds me of a sunset I saw that day.
context: But then, even the light\didn't shine for me.\They're are miracles, aren't they?\And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day. response:	Our two shadows
context: didn't shine for me.\They're are miracles, aren't they?\And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day.\Our two shadows response:	seemed like they were holding hands.
context: They're are miracles, aren't they?\And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands. response:	I wonder if someday the orange
context: And meetings and love,\and seeds and buds,\and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands.\I wonder if someday the orange response:	will become sweet?
context: and seeds and buds,\and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands.\I wonder if someday the orange\will become sweet? response:	Or will it wither away?
context: and even the fruits that are yet unripe?\The orange colour\reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands.\I wonder if someday the orange\will become sweet?\Or will it wither away? response:	I don't want to know about my future,
context: The orange colour\reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands.\I wonder if someday the orange\will become sweet?\Or will it wither away?\I don't want to know about my future, response:	so I ate it all.
context: reminds me of a sunset I saw that day.\Our two shadows\seemed like they were holding hands.\I wonder if someday the orange\will become sweet?\Or will it wither away?\I don't want to know about my future,\so I ate it all. response:	Sour...
context: Our two shadows\seemed like they were holding hands.\I wonder if someday the orange\will become sweet?\Or will it wither away?\I don't want to know about my future,\so I ate it all.\Sour... response:	I love it, but I feel like crying.
context: seemed like they were holding hands.\I wonder if someday the orange\will become sweet?\Or will it wither away?\I don't want to know about my future,\so I ate it all.\Sour...\I love it, but I feel like crying. response:	The fruit that I wish would turn orange soon
context: I wonder if someday the orange\will become sweet?\Or will it wither away?\I don't want to know about my future,\so I ate it all.\Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon response:	is bathed in your light.
context: will become sweet?\Or will it wither away?\I don't want to know about my future,\so I ate it all.\Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light. response:	The ideals and dreams just swell -
context: Or will it wither away?\I don't want to know about my future,\so I ate it all.\Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell - response:	H ey, feel it.
context: I don't want to know about my future,\so I ate it all.\Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it. response:	Today, I tried eating an orange
context: so I ate it all.\Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange response:	but it was so sour I cried.
context: Sour...\I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried. response:	I couldn't leave it behind like I have been,
context: I love it, but I feel like crying.\The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been, response:	so I ate it all.
context: The fruit that I wish would turn orange soon\is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all. response:	I love it.
context: is bathed in your light.\The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all.\I love it. response:	It's Sour.
context: The ideals and dreams just swell -\H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all.\I love it.\It's Sour. response:	I feel like crying.
context: H ey, feel it.\Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all.\I love it.\It's Sour.\I feel like crying. response:	I love it... I love it.
