context: One, two... response:	This is pretty fun.
context: One, two...\This is pretty fun. response:	You can stop chopping wood now.
context: One, two...\This is pretty fun.\You can stop chopping wood now. response:	Are you done with this?
context: One, two...\This is pretty fun.\You can stop chopping wood now.\Are you done with this? response:	I'm going to put it away.
context: One, two...\This is pretty fun.\You can stop chopping wood now.\Are you done with this?\I'm going to put it away. response:	S-Sure.
context: One, two...\This is pretty fun.\You can stop chopping wood now.\Are you done with this?\I'm going to put it away.\S-Sure. response:	I wish I could have her clean my room, too.
context: One, two...\This is pretty fun.\You can stop chopping wood now.\Are you done with this?\I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too. response:	I think it should be done now.
context: One, two...\This is pretty fun.\You can stop chopping wood now.\Are you done with this?\I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too.\I think it should be done now. response:	It'll be fifteen minutes in three more seconds.
context: This is pretty fun.\You can stop chopping wood now.\Are you done with this?\I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds. response:	Do you really need to be so precise?
context: You can stop chopping wood now.\Are you done with this?\I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise? response:	What are you putting in there?
context: Are you done with this?\I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there? response:	Miso.
context: I'm going to put it away.\S-Sure.\I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there?\Miso. response:	My secret ingredient.
context: S-Sure.\I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there?\Miso.\My secret ingredient. response:	Don't do that in the main pot, please!
context: I wish I could have her clean my room, too.\I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there?\Miso.\My secret ingredient.\Don't do that in the main pot, please! response:	Why did you burn the rice?
context: I think it should be done now.\It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there?\Miso.\My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice? response:	Can you blame us? We've never done this before!
context: It'll be fifteen minutes in three more seconds.\Do you really need to be so precise?\What are you putting in there?\Miso.\My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before! response:	We'll do it ourselves, then.
context: Do you really need to be so precise?\What are you putting in there?\Miso.\My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then. response:	Go keep an eye on the curry.
context: What are you putting in there?\Miso.\My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry. response:	Yo, dude.
context: Miso.\My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude. response:	Don't act like you can't hear me.
context: My secret ingredient.\Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me. response:	I'm not letting you pretend you've forgotten about me.
context: Don't do that in the main pot, please!\Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me. response:	Of course I haven't.
