context: One-inch Princess? response:	Really? Does she really exist?
context: One-inch Princess?\Really? Does she really exist? response:	I wonder.
context: One-inch Princess?\Really? Does she really exist?\I wonder. response:	You didn't listen your parents either, right?
context: One-inch Princess?\Really? Does she really exist?\I wonder.\You didn't listen your parents either, right? response:	What are you saying, Chiyomi?
context: One-inch Princess?\Really? Does she really exist?\I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi? response:	You got married just because you had me, didn't you?
context: One-inch Princess?\Really? Does she really exist?\I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you? response:	I want to get back to that time again.
context: One-inch Princess?\Really? Does she really exist?\I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again. response:	I want to become small again.
context: One-inch Princess?\Really? Does she really exist?\I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again. response:	Minami-kun...
context: Really? Does she really exist?\I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again.\Minami-kun... response:	Where are you, Chiyomi?
context: I wonder.\You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi? response:	Here! I'm over here! Minami-kun!
context: You didn't listen your parents either, right?\What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun! response:	You're in Tokyo?
context: What are you saying, Chiyomi?\You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo? response:	Hey, what are you thinking?
context: You got married just because you had me, didn't you?\I want to get back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking? response:	So, I told you yesterday.
context: I want to get back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday. response:	About the dance workshop.
context: I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop. response:	Please let me stay with you.
context: Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you. response:	Hey, wait a minute. Why do you have to do that?
context: Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that? response:	You know, my feelings can get hurt too.
context: Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too. response:	Why are you crying?
context: You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying? response:	Leave me alone!
context: Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying?\Leave me alone! response:	No way. It's Horikiri Chiyomi. Chiyomi.
context: So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi. response:	Right. We don't have a person named Horikiri-san or Chiyomi-san here.
context: About the dance workshop.\Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here. response:	This address...
context: Please let me stay with you.\Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address... response:	That means... Onii-chan (big bro) and Onee-chan (big sis) are...
