context: He is perfect. response:	He worked hard to stay that way.
context: He is perfect.\He worked hard to stay that way. response:	It's unlikely that anyone around him would deny that.
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that. response:	With his grades at school, his character and personality...
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality... response:	Being perfect had become part of his very being...
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being... response:	That summer was hot.
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot. response:	After our first date ended in failure...
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure... response:	We made up for it by going on a lot of dates.
context: He is perfect.\He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates. response:	Due to various circumstances, we hadn't been able to be alone since we started going out...
context: He worked hard to stay that way.\It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out... response:	Miyazawa!
context: It's unlikely that anyone around him would deny that.\With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa! response:	Where was it again?
context: With his grades at school, his character and personality...\Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again? response:	That way, it's a bit of a walk.
context: Being perfect had become part of his very being...\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again?\That way, it's a bit of a walk. response:	It was fun being with Arima.
context: That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima. response:	Since we had led lives of total hard work and self control until then...
context: After our first date ended in failure...\We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then... response:	Seeing him outside like this,
context: We made up for it by going on a lot of dates.\Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this, response:	Arima is Pretty.
context: Due to various circumstances, we hadn't been able to be alone since we started going out...\Miyazawa!\Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty. response:	What is it?
context: Miyazawa!\Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty.\What is it? response:	Oh, nothing.
context: Where was it again?\That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty.\What is it?\Oh, nothing. response:	Weren't you glaring at me just now?
context: That way, it's a bit of a walk.\It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty.\What is it?\Oh, nothing.\Weren't you glaring at me just now? response:	I see the epitome of beauty in him.
context: It was fun being with Arima.\Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty.\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him. response:	He's prettier than most girls...
context: Since we had led lives of total hard work and self control until then...\Seeing him outside like this,\Arima is Pretty.\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls... response:	He's very athletic,
context: Seeing him outside like this,\Arima is Pretty.\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic, response:	and from a wealthy family.
context: Arima is Pretty.\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic,\and from a wealthy family. response:	Everything he does he does right,
context: What is it?\Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic,\and from a wealthy family.\Everything he does he does right, response:	and he hangs out with me,
context: Oh, nothing.\Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic,\and from a wealthy family.\Everything he does he does right,\and he hangs out with me, response:	and he's nice to me...
context: Weren't you glaring at me just now?\I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic,\and from a wealthy family.\Everything he does he does right,\and he hangs out with me,\and he's nice to me... response:	He's invulnerable!
context: I see the epitome of beauty in him.\He's prettier than most girls...\He's very athletic,\and from a wealthy family.\Everything he does he does right,\and he hangs out with me,\and he's nice to me...\He's invulnerable! response:	Arima's the invulnerable man!
context: He's prettier than most girls...\He's very athletic,\and from a wealthy family.\Everything he does he does right,\and he hangs out with me,\and he's nice to me...\He's invulnerable!\Arima's the invulnerable man! response:	Now that we've got more time together...
context: He's very athletic,\and from a wealthy family.\Everything he does he does right,\and he hangs out with me,\and he's nice to me...\He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together... response:	I don't know anything besides Afternoon tea. *Earl Grey?*
context: and from a wealthy family.\Everything he does he does right,\and he hangs out with me,\and he's nice to me...\He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?* response:	But I still don't understand Arima.
context: Everything he does he does right,\and he hangs out with me,\and he's nice to me...\He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima. response:	I wonder what's inside that polished shell of his.
context: and he hangs out with me,\and he's nice to me...\He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his. response:	What's he thinking,
context: and he's nice to me...\He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking, response:	what does he feel, what's in his heart...?
context: He's invulnerable!\Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...? response:	That's what I want to know.
context: Arima's the invulnerable man!\Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know. response:	I want to watch him forever.
context: Now that we've got more time together...\I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever. response:	I wonder what he's thinking.
context: I don't know anything besides Afternoon tea. *Earl Grey?*\But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever.\I wonder what he's thinking. response:	Will I be able to know one day?
context: But I still don't understand Arima.\I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day? response:	That summer was hot.
context: I wonder what's inside that polished shell of his.\What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day?\That summer was hot. response:	After our first date ended in failure...
context: What's he thinking,\what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day?\That summer was hot.\After our first date ended in failure... response:	We made up for it by going on a lot of dates.
context: what does he feel, what's in his heart...?\That's what I want to know.\I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day?\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates. response:	Even though it was unavoidable, I still regret it.
context: That's what I want to know.\I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day?\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it. response:	That we weren't really able to be alone together since we started going out...
context: I want to watch him forever.\I wonder what he's thinking.\Will I be able to know one day?\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out... response:	So you could say we felt it was now or never.
context: I wonder what he's thinking.\Will I be able to know one day?\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never. response:	We may be a bit early.
context: Will I be able to know one day?\That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early. response:	Then why don't we go this way for a bit?
