context: I always wanted to try that! response:	No manners at all...
context: I always wanted to try that!\No manners at all... response:	Don't you want to try it, too, Haruto?
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto? response:	You do, right? I know you wanna!
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna! response:	No it's only you!
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you! response:	A week has passed since Shoko's declaration of independence.
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence. response:	Dorssia and ARUS' militaries are waiting to see who will blink first,
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first, response:	and as a result, Module 77 has found itself in an almost anticiimactic peace.
context: I always wanted to try that!\No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace. response:	We're establishing a set of rules, and are getting by.
context: No manners at all...\Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by. response:	Admittedly...
context: Don't you want to try it, too, Haruto?\You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly... response:	Things with Shoko are exactly the way they used to be.
context: You do, right? I know you wanna!\No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be. response:	Disappointingly enough...
context: No it's only you!\A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough... response:	It's so hot...
context: A week has passed since Shoko's declaration of independence.\Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot... response:	It's hot, all right...
context: Dorssia and ARUS' militaries are waiting to see who will blink first,\and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot...\It's hot, all right... response:	But that's not the reason...
