context: Okay. See you later, Goddess! response:	Okay. You know...
context: Okay. See you later, Goddess!\Okay. You know... response:	Eina-san told me I needed to make sure I had it
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it response:	before I adventured in the middle floors.
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors. response:	I think it's a little flashy.
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy. response:	Well, if your advisor says that, she's sure to be right.
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right. response:	Anyway, don't overdo it just because you're Level 2 now.
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now. response:	Right!
context: Okay. See you later, Goddess!\Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right! response:	Okay, bye!
context: Okay. You know...\Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: Eina-san told me I needed to make sure I had it\before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Pass Parade Procession of Monsters
context: before I adventured in the middle floors.\I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters response:	What's important is coming back safe! Okay?
context: I think it's a little flashy.\Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay? response:	Right!
context: Well, if your advisor says that, she's sure to be right.\Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right! response:	Mikoto, you've leveled, but don't tense up.
context: Anyway, don't overdo it just because you're Level 2 now.\Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up. response:	Okay!
context: Right!\Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up.\Okay! response:	We'll be off, then, Takemikazuchi-sama.
context: Okay, bye!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama. response:	Yeah.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah. response:	So those are the children of your familia, Take?
context: Pass Parade Procession of Monsters\What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take? response:	Oh, Hestia.
context: What's important is coming back safe! Okay?\Right!\Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take?\Oh, Hestia. response:	They're going to the middle floors?
context: Right!\Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors? response:	Yeah.
context: Mikoto, you've leveled, but don't tense up.\Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors?\Yeah. response:	Your Little Rookie is heading there, too, right?
context: Okay!\We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right? response:	Yup. Today's his first time.
context: We'll be off, then, Takemikazuchi-sama.\Yeah.\So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time. response:	He left early this morning.
context: Yeah.\So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning. response:	Well, worrying won't help anything.
context: So those are the children of your familia, Take?\Oh, Hestia.\They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything. response:	All we can do is wait and believe in them.
context: Oh, Hestia.\They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them. response:	Yeah.
context: They're going to the middle floors?\Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah. response:	An earthquake?
context: Yeah.\Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah.\An earthquake? response:	There's a lot of them lately.
context: Your Little Rookie is heading there, too, right?\Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah.\An earthquake?\There's a lot of them lately. response:	You're right.
context: Yup. Today's his first time.\He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah.\An earthquake?\There's a lot of them lately.\You're right. response:	I think it's just a coincidence, but...
context: He left early this morning.\Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah.\An earthquake?\There's a lot of them lately.\You're right.\I think it's just a coincidence, but... response:	You'll be okay, right, Bell-kun?
context: Well, worrying won't help anything.\All we can do is wait and believe in them.\Yeah.\An earthquake?\There's a lot of them lately.\You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun? response:	You're too slow!
context: All we can do is wait and believe in them.\Yeah.\An earthquake?\There's a lot of them lately.\You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow! response:	Okay!
context: Yeah.\An earthquake?\There's a lot of them lately.\You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow!\Okay! response:	Well, I think that's pretty good for our first battle in the middle floors.
context: An earthquake?\There's a lot of them lately.\You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors. response:	Yeah.
context: There's a lot of them lately.\You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah. response:	They're not more than we can handle.
context: You're right.\I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle. response:	It looks like we'll be able to deal with a hellhound's fire attacks, too.
context: I think it's just a coincidence, but...\You'll be okay, right, Bell-kun?\You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too. response:	Yeah.
context: You'll be okay, right, Bell-kun?\You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah. response:	Anyway, let's head to someplace more open.
context: You're too slow!\Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open. response:	If we got surrounded here, it'd be
context: Okay!\Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be response:	Bell-sama?
context: Well, I think that's pretty good for our first battle in the middle floors.\Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama? response:	Yeah, that's Bell.
context: Yeah.\They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell. response:	Those are Al-mi'raj!
context: They're not more than we can handle.\It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj! response:	Bell's attacking us!
context: It looks like we'll be able to deal with a hellhound's fire attacks, too.\Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us! response:	Bell-sama's in a hurry.
context: Yeah.\Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry. response:	I said they're Al-mi'raj!
context: Anyway, let's head to someplace more open.\If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj! response:	About the Little Rookie...
context: If we got surrounded here, it'd be\Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie... response:	As we thought, other adventurers are not very fond him.
context: Bell-sama?\Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him. response:	Some say he only managed to beat the minotaur alone
context: Yeah, that's Bell.\Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone response:	because he got lucky with his magic,
context: Those are Al-mi'raj!\Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic, response:	or that he just defeated the Loki Familia's leftovers.
