context: It's me. response:	I see. Good work.
context: It's me.\I see. Good work. response:	It's the beginning of a war.
context: It's me.\I see. Good work.\It's the beginning of a war. response:	Why did you come here?
context: It's me.\I see. Good work.\It's the beginning of a war.\Why did you come here? response:	I'm sorry. You're the only person I know outside of the organization, Li-san.
context: It's me.\I see. Good work.\It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san. response:	Do you have any idea who that girl is?
context: It's me.\I see. Good work.\It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is? response:	Aniki told me she was some sort of merchandise.
context: It's me.\I see. Good work.\It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise. response:	Why did you bring her here if you already knew that?
context: It's me.\I see. Good work.\It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that? response:	I'm infatuated with her! I've decided to make her happy!
context: I see. Good work.\It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy! response:	How?
context: It's the beginning of a war.\Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How? response:	How? Well, that's...
context: Why did you come here?\I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's... response:	I'll find a way.
context: I'm sorry. You're the only person I know outside of the organization, Li-san.\Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's...\I'll find a way. response:	Why... Why are you so upset?
context: Do you have any idea who that girl is?\Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's...\I'll find a way.\Why... Why are you so upset? response:	What are you going to do about the organization?
context: Aniki told me she was some sort of merchandise.\Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's...\I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization? response:	I don't have any other choice but to leave.
context: Why did you bring her here if you already knew that?\I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's...\I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave. response:	I'm sure Aniki's angry.
context: I'm infatuated with her! I've decided to make her happy!\How?\How? Well, that's...\I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry. response:	I'm going to run away from Tokyo with her.
context: How?\How? Well, that's...\I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her. response:	There's no way you could pull that off.
context: How? Well, that's...\I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off. response:	I won't know until I try!
context: I'll find a way.\Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try! response:	I'm an idiot who doesn't know how the world works,
context: Why... Why are you so upset?\What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works, response:	but I believe she'll never be happy if she stays here.
context: What are you going to do about the organization?\I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here. response:	Definitely.
context: I don't have any other choice but to leave.\I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely. response:	You don't understand anything at all.
context: I'm sure Aniki's angry.\I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all. response:	Did Kenji do this to you?
context: I'm going to run away from Tokyo with her.\There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all.\Did Kenji do this to you? response:	Yes.
context: There's no way you could pull that off.\I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all.\Did Kenji do this to you?\Yes. response:	Did he run away with the doll?
