context: Bye, Arata. response:	Let me know when you're done watching your friends play.
context: Bye, Arata.\Let me know when you're done watching your friends play. response:	Thanks, Uncle Motoki!
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki! response:	I'm a little late.
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late. response:	Is their first match over?
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late.\Is their first match over? response:	Are you going to come tomorrow, Arata?
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata? response:	What? Just the individual tournament in two days?!
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?! response:	I was lying.
context: Bye, Arata.\Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying. response:	After I pay my respects, I'll go watch Chihaya and Taichi.
context: Let me know when you're done watching your friends play.\Thanks, Uncle Motoki!\I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi. response:	Wh-Who are you?
context: Thanks, Uncle Motoki!\I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you? response:	Oh, that mole!
context: I'm a little late.\Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole! response:	Are you Shinobu-chan?
context: Is their first match over?\Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan? response:	I didn't recognize you because you looked completely different on TV.
context: Are you going to come tomorrow, Arata?\What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV. response:	What are you doing to put on and lose weight so quickly?
context: What? Just the individual tournament in two days?!\I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly? response:	Huh? What's wrong?
context: I was lying.\After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong? response:	You don't need to cry, Shinobu-chan.
context: After I pay my respects, I'll go watch Chihaya and Taichi.\Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan. response:	Aren't you the invincible Queen?
context: Wh-Who are you?\Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen? response:	It's been four years since I last lost,
context: Oh, that mole!\Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost, response:	but I still have much room for improvement,
context: Are you Shinobu-chan?\I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement, response:	so I might end up losing to you, despite your long absence.
context: I didn't recognize you because you looked completely different on TV.\What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence. response:	This is the pride of a Queen
context: What are you doing to put on and lose weight so quickly?\Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen response:	and the temper of a Kyoto woman.
context: Huh? What's wrong?\You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman. response:	Since you quit karuta, you're never beating me again, fool.
context: You don't need to cry, Shinobu-chan.\Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool. response:	What are you doing here, Shinobu-chan?
context: Aren't you the invincible Queen?\It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan? response:	Isn't the individual tournament tomorrow?
context: It's been four years since I last lost,\but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow? response:	Kyoto's not that far away.
context: but I still have much room for improvement,\so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away. response:	Are you daft?
context: so I might end up losing to you, despite your long absence.\This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft? response:	Every year on this day, I visit the shrine
context: This is the pride of a Queen\and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine response:	before watching the Lake Biwa Birdman Rally.
context: and the temper of a Kyoto woman.\Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally. response:	You came all the way out here and you're not
context: Since you quit karuta, you're never beating me again, fool.\What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not response:	going to watch the team tournament?
context: What are you doing here, Shinobu-chan?\Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament? response:	Team tournament?
context: Isn't the individual tournament tomorrow?\Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament?\Team tournament? response:	That's for players who don't love karuta.
context: Kyoto's not that far away.\Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament?\Team tournament?\That's for players who don't love karuta. response:	That's why you aren't playing in it, right?
context: Are you daft?\Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament?\Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right? response:	It's strange.
context: Every year on this day, I visit the shrine\before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament?\Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange. response:	Why do I keep getting matched against her in the first round?
context: before watching the Lake Biwa Birdman Rally.\You came all the way out here and you're not\going to watch the team tournament?\Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round? response:	In fourth and fifth grade, too.
context: You came all the way out here and you're not\going to watch the team tournament?\Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too. response:	Arata, Shinobu-chan will surely be a future Queen.
