context: They say that the more you fight, the closer you are. response:	But fighting is nothing but a clash of egos.
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos. response:	Revealing your true feelings
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings response:	doesn't necessarily make people understand each other better.
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better. response:	I think it's probably impossible to live your life without getting hurt,
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt, response:	but I also think an effort should be made not to hurt others.
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others. response:	I just felt so strongly about that.
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that. response:	Yeah, yeah Yeah, yeah
context: They say that the more you fight, the closer you are.\But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: But fighting is nothing but a clash of egos.\Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: Revealing your true feelings\doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: doesn't necessarily make people understand each other better.\I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
