context: OP response:	ED
context: OP\ED response:	Faceless One
context: OP\ED\Faceless One response:	Satsuki Kazuma and his family were murdered.
context: OP\ED\Faceless One\Satsuki Kazuma and his family were murdered. response:	I will now tell how.
context: OP\ED\Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how. response:	The culprit is the late Kazumas wife, Chou.
context: OP\ED\Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou. response:	For her crime, she was incarcerated immediately.
context: OP\ED\Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately. response:	Thats much better.
context: OP\ED\Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better. response:	I accept responsibility for my crime.
context: ED\Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime. response:	Part the First
context: Faceless One\Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime.\Part the First response:	The blue moon illuminated
context: Satsuki Kazuma and his family were murdered.\I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime.\Part the First\The blue moon illuminated response:	your wandering shadow.
context: I will now tell how.\The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime.\Part the First\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: The culprit is the late Kazumas wife, Chou.\For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime.\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: For her crime, she was incarcerated immediately.\Thats much better.\I accept responsibility for my crime.\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: Thats much better.\I accept responsibility for my crime.\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: I accept responsibility for my crime.\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
context: Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
context: The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear? response:	The transient quarter moon
context: your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon response:	hides in a rift in the clouds,
context: I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds, response:	as darkness seeps up from the ground.
context: It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground. response:	Tell me the truth, please.
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
context: and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent response:	that you still sit alone, sighing?
context: What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing? response:	And so, the case is solved!
context: those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\And so, the case is solved! response:	Just what
context: The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\And so, the case is solved!\Just what response:	did you do?
context: hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\And so, the case is solved!\Just what\did you do? response:	Who are you?
