context: Thanks for gathering here today. response:	I mean, this is our home...
context: Thanks for gathering here today.\I mean, this is our home... response:	I thought you would've given up by now.
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now. response:	Didn't I tell you that we don't need a tutor?
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor? response:	Then prove it to me.
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me. response:	Prove it?
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it? response:	I'll have you take this test.
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it?\I'll have you take this test. response:	I promise to never talk to anyone who passes.
context: Thanks for gathering here today.\I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes. response:	U-Uesugi-san?
context: I mean, this is our home...\I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san? response:	A test?
context: I thought you would've given up by now.\Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san?\A test? response:	Why should I have to bother?
context: Didn't I tell you that we don't need a tutor?\Then prove it to me.\Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san?\A test?\Why should I have to bother? response:	Fine.
context: Then prove it to me.\Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san?\A test?\Why should I have to bother?\Fine. response:	I'll take it.
context: Prove it?\I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san?\A test?\Why should I have to bother?\Fine.\I'll take it. response:	Itsuki, are you serious?
context: I'll have you take this test.\I promise to never talk to anyone who passes.\U-Uesugi-san?\A test?\Why should I have to bother?\Fine.\I'll take it.\Itsuki, are you serious? response:	All I need to do is pass.
context: I promise to never talk to anyone who passes.\U-Uesugi-san?\A test?\Why should I have to bother?\Fine.\I'll take it.\Itsuki, are you serious?\All I need to do is pass. response:	And then, I'll never have to see your face again.
context: U-Uesugi-san?\A test?\Why should I have to bother?\Fine.\I'll take it.\Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again. response:	Let's do this, guys!
context: A test?\Why should I have to bother?\Fine.\I'll take it.\Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys! response:	Oh, fine.
context: Why should I have to bother?\Fine.\I'll take it.\Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine. response:	What counts as a passing grade?
context: Fine.\I'll take it.\Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine.\What counts as a passing grade? response:	Sixtyno.
context: I'll take it.\Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine.\What counts as a passing grade?\Sixtyno. response:	Make that fifty. That's good enough.
context: Itsuki, are you serious?\All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine.\What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough. response:	We don't really owe you this,
context: All I need to do is pass.\And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine.\What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this, response:	but you need to be taught not to underestimate us.
context: And then, I'll never have to see your face again.\Let's do this, guys!\Oh, fine.\What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us. response:	I'm done grading.
context: Let's do this, guys!\Oh, fine.\What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading. response:	Amazing.
context: Oh, fine.\What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading.\Amazing. response:	You all scored a 100!
context: What counts as a passing grade?\Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading.\Amazing.\You all scored a 100! response:	Combined, that is.
