context: Let's go! response:	How dare you burn down our village!
context: Let's go!\How dare you burn down our village! response:	You won't get away with that!
context: Let's go!\How dare you burn down our village!\You won't get away with that! response:	Wolves!
context: Let's go!\How dare you burn down our village!\You won't get away with that!\Wolves! response:	What's this smoke?
context: Let's go!\How dare you burn down our village!\You won't get away with that!\Wolves!\What's this smoke? response:	Curse you!
context: Let's go!\How dare you burn down our village!\You won't get away with that!\Wolves!\What's this smoke?\Curse you! response:	Revenge for the Earl of Altirk!
context: Let's go!\How dare you burn down our village!\You won't get away with that!\Wolves!\What's this smoke?\Curse you!\Revenge for the Earl of Altirk! response:	I'll beat you all down!
context: Let's go!\How dare you burn down our village!\You won't get away with that!\Wolves!\What's this smoke?\Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down! response:	It's the Black Prince.
context: How dare you burn down our village!\You won't get away with that!\Wolves!\What's this smoke?\Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince. response:	Retreat! Disperse, and flee into the forest!
context: You won't get away with that!\Wolves!\What's this smoke?\Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest! response:	I won't let you escape!
context: Wolves!\What's this smoke?\Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape! response:	Forget about me and run!
context: What's this smoke?\Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run! response:	Go back to the castle, and help Sir Theo!
context: Curse you!\Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo! response:	Altirk forever!
context: Revenge for the Earl of Altirk!\I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever! response:	No need to chase them.
context: I'll beat you all down!\It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them. response:	The detached unit was routed by the witches.
context: It's the Black Prince.\Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them.\The detached unit was routed by the witches. response:	We'll regroup, and resume our advance.
context: Retreat! Disperse, and flee into the forest!\I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance. response:	This area appears to be a maze.
context: I won't let you escape!\Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze. response:	How impudent!
context: Forget about me and run!\Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent! response:	The path's diverging in different directions.
context: Go back to the castle, and help Sir Theo!\Altirk forever!\No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent!\The path's diverging in different directions. response:	They must be using this thorny undergrowth to open and shut the pathway.
context: Altirk forever!\No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway. response:	Is this Theo's aim?
context: No need to chase them.\The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim? response:	His plan is probably to toy with our men, and split us up.
context: The detached unit was routed by the witches.\We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up. response:	Cunning of him. Just keep heading toward the castle.
context: We'll regroup, and resume our advance.\This area appears to be a maze.\How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle. response:	As you wish.
context: This area appears to be a maze.\How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish. response:	They're here, huh?
context: How impudent!\The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh? response:	Being desert people, they must have had a hard time navigating this Demonic territory's forest.
context: The path's diverging in different directions.\They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest. response:	Theo Cornaro! Come out from there!
context: They must be using this thorny undergrowth to open and shut the pathway.\Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there! response:	I'll take you on in a duel!
context: Is this Theo's aim?\His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel! response:	It's been a long time, Prince of Dartania, Milza Kuches!
context: His plan is probably to toy with our men, and split us up.\Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches! response:	I've won this battle.
context: Cunning of him. Just keep heading toward the castle.\As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle. response:	You should leave this forest right now.
context: As you wish.\They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now. response:	When night falls, this forest's appearance changes even more.
context: They're here, huh?\Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more. response:	It begins to writhe in search of human blood.
context: Being desert people, they must have had a hard time navigating this Demonic territory's forest.\Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood. response:	Then be holed up in that castle forever!
context: Theo Cornaro! Come out from there!\I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever! response:	In the meantime, I'll eliminate every nation in the Altirk Treaty!
context: I'll take you on in a duel!\It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty! response:	All forces, retreat!
context: It's been a long time, Prince of Dartania, Milza Kuches!\I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat! response:	I thought that he'd attack.
context: I've won this battle.\You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack. response:	Telius Savoie.
context: You should leave this forest right now.\When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack.\Telius Savoie. response:	He wasn't all that proficient at magic, but he was brilliant at military strategy.
context: When night falls, this forest's appearance changes even more.\It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy. response:	Meaning that his scheme wasn't botched, rather it was taken out of his hands?
context: It begins to writhe in search of human blood.\Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands? response:	If that's the case...
context: Then be holed up in that castle forever!\In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case... response:	The next battle will be grueling.
context: In the meantime, I'll eliminate every nation in the Altirk Treaty!\All forces, retreat!\I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling. response:	Yes.
context: All forces, retreat!\I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling.\Yes. response:	Damn that Theo Cornaro!
context: I thought that he'd attack.\Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling.\Yes.\Damn that Theo Cornaro! response:	The Forest of Eternal Darkness is Demon territory.
context: Telius Savoie.\He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling.\Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory. response:	It's not a suitable station for a military force.
context: He wasn't all that proficient at magic, but he was brilliant at military strategy.\Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling.\Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force. response:	Theo Cornaro only has two choices available to him.
context: Meaning that his scheme wasn't botched, rather it was taken out of his hands?\If that's the case...\The next battle will be grueling.\Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him. response:	One is to return his troops to Bulltava.
