context: The Third Plate response:	Eighteen
context: The Third Plate\Eighteen response:	Congratulations on your battle royale victory, Hayama Akira.
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira. response:	Now, you are an official member of Central.
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central. response:	I don't give a shit about that.
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that. response:	As promised, set up the research lab for Jun and me
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me response:	I am aware.
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware. response:	But before that, you have your first assignment.
context: The Third Plate\Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment. response:	It's a simple matter.
context: Eighteen\Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment.\It's a simple matter. response:	Once and for all, finish off the opponent you've already defeated twice before.
context: Congratulations on your battle royale victory, Hayama Akira.\Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before. response:	You can't do this, Hayama-kun.
context: Now, you are an official member of Central.\I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun. response:	Leave Central right now.
context: I don't give a shit about that.\As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now. response:	I told you not to join Central, didn't I?
context: As promised, set up the research lab for Jun and me\I am aware.\But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I? response:	Why won't you listen to me?
context: I am aware.\But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me? response:	Even if you listen to Azami-senpai,
context: But before that, you have your first assignment.\It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai, response:	there's no guarantee that he'll let you do what you want
context: It's a simple matter.\Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want response:	So what?
context: Once and for all, finish off the opponent you've already defeated twice before.\You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what? response:	Is there any other way we can continue our research?
context: You can't do this, Hayama-kun.\Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research? response:	You just don't get it, Hayama-kun!
context: Leave Central right now.\I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun! response:	Wh-What the hell?!
context: I told you not to join Central, didn't I?\Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?! response:	Do you even get how much everything we've been through means to me?
context: Why won't you listen to me?\Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me? response:	Fine.
context: Even if you listen to Azami-senpai,\there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine. response:	No matter what you say,
context: there's no guarantee that he'll let you do what you want\So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine.\No matter what you say, response:	I'm going to protect this place.
context: So what?\Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine.\No matter what you say,\I'm going to protect this place. response:	I don't care what I have to sacrifice.
context: Is there any other way we can continue our research?\You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine.\No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice. response:	Here's the chicken-fried bear.
context: You just don't get it, Hayama-kun!\Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine.\No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear. response:	Please enjoy.
context: Wh-What the hell?!\Do you even get how much everything we've been through means to me?\Fine.\No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy. response:	Food Wars
context: Do you even get how much everything we've been through means to me?\Fine.\No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy.\Food Wars response:	The Third Plate
context: Fine.\No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: No matter what you say,\I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy.\Food Wars\The Third Plate\Totsuki Train Arc response:	For Whom
context: I'm going to protect this place.\I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy.\Food Wars\The Third Plate\Totsuki Train Arc\For Whom response:	The bear dish prepared by the master of fragrance, Hayama Akira
context: I don't care what I have to sacrifice.\Here's the chicken-fried bear.\Please enjoy.\Food Wars\The Third Plate\Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira response:	chicken-fried bear.
context: Here's the chicken-fried bear.\Please enjoy.\Food Wars\The Third Plate\Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear. response:	Hayama, where's mine?!
