context: Where... response:	The infirmary.
context: Where...\The infirmary. response:	The infirmary?
context: Where...\The infirmary.\The infirmary? response:	Why are you still here?
context: Where...\The infirmary.\The infirmary?\Why are you still here? response:	Don't overdo it.
context: Where...\The infirmary.\The infirmary?\Why are you still here?\Don't overdo it. response:	It's okay, Kanade - chan.
context: Where...\The infirmary.\The infirmary?\Why are you still here?\Don't overdo it.\It's okay, Kanade - chan. response:	Well, you went through a lot didn't you?
context: Where...\The infirmary.\The infirmary?\Why are you still here?\Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you? response:	I'm surprised you survived as a leader with that performance of yours.
context: Where...\The infirmary.\The infirmary?\Why are you still here?\Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours. response:	Even you guys?
context: The infirmary.\The infirmary?\Why are you still here?\Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys? response:	What are you doing here?
context: The infirmary?\Why are you still here?\Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here? response:	The shadows are all gone, right?
context: Why are you still here?\Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here?\The shadows are all gone, right? response:	There shouldn't be anything more in your way...
context: Don't overdo it.\It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way... response:	Yeah, we know.
context: It's okay, Kanade - chan.\Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know. response:	Then...
context: Well, you went through a lot didn't you?\I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know.\Then... response:	But you're still here, right?
context: I'm surprised you survived as a leader with that performance of yours.\Even you guys?\What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know.\Then...\But you're still here, right? response:	You're still here.
context: Even you guys?\What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know.\Then...\But you're still here, right?\You're still here. response:	Me?
context: What are you doing here?\The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know.\Then...\But you're still here, right?\You're still here.\Me? response:	I see...
context: The shadows are all gone, right?\There shouldn't be anything more in your way...\Yeah, we know.\Then...\But you're still here, right?\You're still here.\Me?\I see... response:	How do I put it...
context: There shouldn't be anything more in your way...\Yeah, we know.\Then...\But you're still here, right?\You're still here.\Me?\I see...\How do I put it... response:	What?
context: Yeah, we know.\Then...\But you're still here, right?\You're still here.\Me?\I see...\How do I put it...\What? response:	I'm just guessing, but maybe Yuri got over her troubles.
context: Then...\But you're still here, right?\You're still here.\Me?\I see...\How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles. response:	Really, Yuri?
context: But you're still here, right?\You're still here.\Me?\I see...\How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri? response:	Eh?
context: You're still here.\Me?\I see...\How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh? response:	Well... that's...
