context: Anime is being targeted now. response:	The shadow of evil is closing in
context: Anime is being targeted now.\The shadow of evil is closing in response:	on the trendy members of the anime industry.
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry. response:	Anyone who tries to take advantage of youthful passion...
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion... response:	In the name of the moon, Sailor Moon will punish you!
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Anime is being targeted now.\The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: The shadow of evil is closing in\on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: on the trendy members of the anime industry.\Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: Anyone who tries to take advantage of youthful passion...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Protect the Children's Dreams! Friendship Linked By Anime
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime response:	Sailor V!
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V! response:	Sailor V
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V response:	Sailor V A great theatrical anime masterpiece!
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece! response:	Sailor V Sailor V!
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V! response:	Big opening coming soon!
