context: The news was not of some severe situation response:	that would cause people to frown, or at all serious in nature.
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature. response:	But it was a sudden live coverage on a peaceful morning
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning response:	of a scandal involving one singer with too much makeup.
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup. response:	It made a great impression, and I figured we had a chance.
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance. response:	Yeah, yeah Yeah, yeah
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: The news was not of some severe situation\that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: that would cause people to frown, or at all serious in nature.\But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
context: But it was a sudden live coverage on a peaceful morning\of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: of a scandal involving one singer with too much makeup.\It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: It made a great impression, and I figured we had a chance.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Hey, did you watch it? This morning's Morning Seven?
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven? response:	I did. Nana.
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana. response:	Who's that?
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that? response:	Ren's girl.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that?\Ren's girl. response:	What? What kind of girl?
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that?\Ren's girl.\What? What kind of girl? response:	She pisses me off.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that?\Ren's girl.\What? What kind of girl?\She pisses me off. response:	But she was really pretty, wasn't she?!
context: Yeah, yeah, keep going on\Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that?\Ren's girl.\What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?! response:	You think? Her gaze was too strong.
context: Hey, did you watch it? This morning's Morning Seven?\I did. Nana.\Who's that?\Ren's girl.\What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong. response:	Maybe she put a curse on me.
context: I did. Nana.\Who's that?\Ren's girl.\What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me. response:	A curse?
context: Who's that?\Ren's girl.\What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse? response:	Girls nowadays are amazing.
context: Ren's girl.\What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse?\Girls nowadays are amazing. response:	I mean, using a man to become famous?
context: What? What kind of girl?\She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse?\Girls nowadays are amazing.\I mean, using a man to become famous? response:	I can't forgive her. She deceived Ren.
context: She pisses me off.\But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse?\Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren. response:	Oh, you're a fan of Ren Honjo?
context: But she was really pretty, wasn't she?!\You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse?\Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo? response:	Me too, ever since that canned coffee commercial.
context: You think? Her gaze was too strong.\Maybe she put a curse on me.\A curse?\Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial. response:	That bass player was so cool.
context: Maybe she put a curse on me.\A curse?\Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool. response:	Never mind Nana, what's his name?
context: A curse?\Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name? response:	The bassist? I wanna know the name of the guitarist.
context: Girls nowadays are amazing.\I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist. response:	What is it? What's the band's name?
context: I mean, using a man to become famous?\I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name? response:	Try making your own flowers bloom.
context: I can't forgive her. She deceived Ren.\Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom. response:	Boss, I don't understand what you're saying.
context: Oh, you're a fan of Ren Honjo?\Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying. response:	- Hello, this is Gaia Records. - We're terribly sorry.
context: Me too, ever since that canned coffee commercial.\That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry. response:	- The release date for their debut single - We will make an official announcement
