context: Saitama National University. response:	I'm in the science department, enjoying my campus lifestyle.
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle. response:	Come to think of it, Kanade, you're in Ikeda's research group, right?
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right? response:	I am. Why?
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why? response:	You're so lucky. There're a lot of women there, aren't there?
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there? response:	Yeah. It's about half women. It's pretty unusual, isn't it?
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it? response:	It's all guys where I am.
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am. response:	And they've all got black hair and glasses.
context: Saitama National University.\I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses. response:	Our department's pretty much all like that.
context: I'm in the science department, enjoying my campus lifestyle.\Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that. response:	There're only three girls in our year, after all.
context: Come to think of it, Kanade, you're in Ikeda's research group, right?\I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all. response:	I'm heading to the lab.
context: I am. Why?\You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab. response:	See you later!
context: You're so lucky. There're a lot of women there, aren't there?\Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab.\See you later! response:	Information Computer Sciences
context: Yeah. It's about half women. It's pretty unusual, isn't it?\It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab.\See you later!\Information Computer Sciences response:	Information Computer Sciences
context: It's all guys where I am.\And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab.\See you later!\Information Computer Sciences\Information Computer Sciences response:	Our field, InfoSci, or Information and Computer Science...
context: And they've all got black hair and glasses.\Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab.\See you later!\Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science... response:	(Natural Science)
context: Our department's pretty much all like that.\There're only three girls in our year, after all.\I'm heading to the lab.\See you later!\Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science) response:	looks at natural science...
context: There're only three girls in our year, after all.\I'm heading to the lab.\See you later!\Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science... response:	There's suddenly a huge recession.
context: I'm heading to the lab.\See you later!\Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science...\There's suddenly a huge recession. response:	(Natural Science)
context: See you later!\Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science...\There's suddenly a huge recession.\(Natural Science) response:	(Social Science)
context: Information Computer Sciences\Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science...\There's suddenly a huge recession.\(Natural Science)\(Social Science) response:	I'm suddenly totally ripped!
context: Information Computer Sciences\Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science...\There's suddenly a huge recession.\(Natural Science)\(Social Science)\I'm suddenly totally ripped! response:	(Natural Science)
context: Our field, InfoSci, or Information and Computer Science...\(Natural Science)\looks at natural science...\There's suddenly a huge recession.\(Natural Science)\(Social Science)\I'm suddenly totally ripped!\(Natural Science) response:	(Social Science)
context: (Natural Science)\looks at natural science...\There's suddenly a huge recession.\(Natural Science)\(Social Science)\I'm suddenly totally ripped!\(Natural Science)\(Social Science) response:	(Human Science)
context: looks at natural science...\There's suddenly a huge recession.\(Natural Science)\(Social Science)\I'm suddenly totally ripped!\(Natural Science)\(Social Science)\(Human Science) response:	All of the information in the world, and aims to mathematically analyze it.
context: There's suddenly a huge recession.\(Natural Science)\(Social Science)\I'm suddenly totally ripped!\(Natural Science)\(Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it. response:	Information
context: (Natural Science)\(Social Science)\I'm suddenly totally ripped!\(Natural Science)\(Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information response:	(Natural Science)
context: (Social Science)\I'm suddenly totally ripped!\(Natural Science)\(Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science) response:	(Social Science)
context: I'm suddenly totally ripped!\(Natural Science)\(Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science)\(Social Science) response:	(Human Science)
