context: Operation: Ares response:	Did you call for me?
context: Operation: Ares\Did you call for me? response:	Please take a look at this.
context: Operation: Ares\Did you call for me?\Please take a look at this. response:	We're investigating a Wulgaru capital ship that crashed on Mars?
context: Operation: Ares\Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars? response:	Right. It would be too much for the GDF to handle.
context: Operation: Ares\Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle. response:	Besides, up-to-date information is highly valuable.
context: Operation: Ares\Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable. response:	This is going to be an infiltration operation.
context: Operation: Ares\Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation. response:	Infiltration?
context: Operation: Ares\Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration? response:	Where is the target?
context: Did you call for me?\Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration?\Where is the target? response:	After the Battle of Ceres,
context: Please take a look at this.\We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration?\Where is the target?\After the Battle of Ceres, response:	we found an enemy craft that crash landed on Mars.
context: We're investigating a Wulgaru capital ship that crashed on Mars?\Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration?\Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars. response:	Team Rabbits is to infiltrate the ship and retrieve any data you can.
context: Right. It would be too much for the GDF to handle.\Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration?\Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can. response:	We've never undergone training for this!
