context: eye catch response:	Pre! Preparation!
context: eye catch\Pre! Preparation! response:	I'm not strong
context: eye catch\Pre! Preparation!\I'm not strong response:	But pre! Pre-parade!
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade! response:	I'll catch you someday!
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday! response:	P-re-prepare, p-re-prepare, p-re-prepare, cracking apart
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart response:	P-re-prepare, p-re-prepare, p-re-prepare
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare response:	If you're not paying attention, be prepared for a poking attack from my fingers
context: eye catch\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers response:	I'm little, but I'll squish you; you're as tiny as a flea to me
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me response:	What I want is a plastic heart (plus, plus, but it's a minus)
context: I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus) response:	But that's boring; when I'd notice it, I'd have won against you
context: But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you response:	Love is something that's bittersweet
context: I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet response:	Simple and clear yet complex and strange stuff
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	Ryuuji And Taiga
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Ryuuji And Taiga response:	Home Economics Practice Room
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room response:	Statement, Witness 1, Year 2 Class C, H-To K-ji
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji response:	Statement, Witness 2, Year 2 Class C, K-hara M-ya
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya response:	Statement, Witness 3, Year 2 Class C, N-to H-mitsu
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu response:	Statement, Witness 4, Year 2 Class C, K-shii N-nako
context: Like putting salt\Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako response:	Next Episode Preview
context: Into sweet vanilla...\Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview response:	Your Song
context: Ryuuji And Taiga\Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song response:	Seconds!
context: Home Economics Practice Room\Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song\Seconds! response:	Sure thing!
context: Statement, Witness 1, Year 2 Class C, H-To K-ji\Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song\Seconds!\Sure thing! response:	What the hell am I doing?!
context: Statement, Witness 2, Year 2 Class C, K-hara M-ya\Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song\Seconds!\Sure thing!\What the hell am I doing?! response:	What?
context: Statement, Witness 3, Year 2 Class C, N-to H-mitsu\Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song\Seconds!\Sure thing!\What the hell am I doing?!\What? response:	How did you end up eating breakfast at our place?!
context: Statement, Witness 4, Year 2 Class C, K-shii N-nako\Next Episode Preview\Your Song\Seconds!\Sure thing!\What the hell am I doing?!\What?\How did you end up eating breakfast at our place?! response:	And you! Why aren't you bothered by it?
context: Next Episode Preview\Your Song\Seconds!\Sure thing!\What the hell am I doing?!\What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it? response:	Why would I be?
context: Your Song\Seconds!\Sure thing!\What the hell am I doing?!\What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be? response:	Since Taiga-chan is so small, she takes up so little space.
context: Seconds!\Sure thing!\What the hell am I doing?!\What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be?\Since Taiga-chan is so small, she takes up so little space. response:	Besides, it tastes even better when everyone eats together.
context: Sure thing!\What the hell am I doing?!\What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be?\Since Taiga-chan is so small, she takes up so little space.\Besides, it tastes even better when everyone eats together. response:	Give me another helping already.
context: What the hell am I doing?!\What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be?\Since Taiga-chan is so small, she takes up so little space.\Besides, it tastes even better when everyone eats together.\Give me another helping already. response:	I cooked enough for three.
context: What?\How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be?\Since Taiga-chan is so small, she takes up so little space.\Besides, it tastes even better when everyone eats together.\Give me another helping already.\I cooked enough for three. response:	How much do you intend to eat?!
context: How did you end up eating breakfast at our place?!\And you! Why aren't you bothered by it?\Why would I be?\Since Taiga-chan is so small, she takes up so little space.\Besides, it tastes even better when everyone eats together.\Give me another helping already.\I cooked enough for three.\How much do you intend to eat?! response:	T-Timoten.
