context: My family was rich. response:	I was sickly since birth...
context: My family was rich.\I was sickly since birth... response:	I was given as much candy and toys as I wanted...
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted... response:	You fatso Takefumi!
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi! response:	We're not gonna play with YOU!
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU! response:	I even had metabolic diseases in third grade.
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade. response:	Tonami-kun! Tonami-kun!
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun! response:	Everyone's talking about how tall and cool you are.
context: My family was rich.\I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are. response:	I wonder if it's true that people from Okinawa all all good looking.
context: I was sickly since birth...\I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking. response:	My height? Well, I play basketball, so...
context: I was given as much candy and toys as I wanted...\You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so... response:	Playing basketball in Okinawa that sounds so cool!
context: You fatso Takefumi!\We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool! response:	Besides, I'm not from Okinawa.
context: We're not gonna play with YOU!\I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa. response:	Oh yeah, you used to live around here, right?
context: I even had metabolic diseases in third grade.\Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right? response:	Until seventh grade.
context: Tonami-kun! Tonami-kun!\Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade. response:	I have a picture. Want to see?
