context: Atsushi-kun... response:	Risa, after thinking about it,
context: Atsushi-kun...\Risa, after thinking about it, response:	Complete Despair! A Love Revival With the Ex?!
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?! response:	I love you.
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you. response:	I got him!
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you.\I got him! response:	I got Cain-sama!
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you.\I got him!\I got Cain-sama! response:	Cain Osugi
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you.\I got him!\I got Cain-sama!\Cain Osugi response:	This is straining my heartstrings...
context: Atsushi-kun...\Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you.\I got him!\I got Cain-sama!\Cain Osugi\This is straining my heartstrings... response:	Risa, we've come to pick you up.
context: Risa, after thinking about it,\Complete Despair! A Love Revival With the Ex?!\I love you.\I got him!\I got Cain-sama!\Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up. response:	It's almost time for Hatsumode.
context: Complete Despair! A Love Revival With the Ex?!\I love you.\I got him!\I got Cain-sama!\Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode. response:	What on earth are you doing?
context: I love you.\I got him!\I got Cain-sama!\Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing? response:	SUMIYOSHI GRAND SHRINE
context: I got him!\I got Cain-sama!\Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE response:	As expected, there are a lot of people here for New Year's Eve.
context: I got Cain-sama!\Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve. response:	Where are darling and the others?
context: Cain Osugi\This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others? response:	In the end there was no miracle, and another year passed.
context: This is straining my heartstrings...\Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed. response:	Nobu-chan!
context: Risa, we've come to pick you up.\It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan! response:	Ah! Darling!
context: It's almost time for Hatsumode.\What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling! response:	Over here, over here.
context: What on earth are you doing?\SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling!\Over here, over here. response:	Hey.
context: SUMIYOSHI GRAND SHRINE\As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling!\Over here, over here.\Hey. response:	What's the matter?
context: As expected, there are a lot of people here for New Year's Eve.\Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling!\Over here, over here.\Hey.\What's the matter? response:	This is straining my heartstrings!
context: Where are darling and the others?\In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling!\Over here, over here.\Hey.\What's the matter?\This is straining my heartstrings! response:	Huh?
context: In the end there was no miracle, and another year passed.\Nobu-chan!\Ah! Darling!\Over here, over here.\Hey.\What's the matter?\This is straining my heartstrings!\Huh? response:	The way Otani gets me so worked up every day...
context: Nobu-chan!\Ah! Darling!\Over here, over here.\Hey.\What's the matter?\This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day... response:	Grant me happiness this year!
context: Ah! Darling!\Over here, over here.\Hey.\What's the matter?\This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year! response:	Happiness!
context: Over here, over here.\Hey.\What's the matter?\This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness! response:	You sure are funny.
context: Hey.\What's the matter?\This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness!\You sure are funny. response:	What exactly is funny about me?!
context: What's the matter?\This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness!\You sure are funny.\What exactly is funny about me?! response:	I was paying you a compliment.
