context: Hey, Dororo. response:	Long time no see.
context: Hey, Dororo.\Long time no see. response:	Oh, Itachi.
context: Hey, Dororo.\Long time no see.\Oh, Itachi. response:	I've been looking everywhere for you.
context: Hey, Dororo.\Long time no see.\Oh, Itachi.\I've been looking everywhere for you. response:	Ta-da. Now show me the other half that you have.
context: Hey, Dororo.\Long time no see.\Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have. response:	That map...
context: Hey, Dororo.\Long time no see.\Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map... response:	Listen now, Dororo. Remember this well.
context: Hey, Dororo.\Long time no see.\Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well. response:	This is your papa's lifelong ambition.
context: Hey, Dororo.\Long time no see.\Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition. response:	Carry it on with you. And protect it.
context: Long time no see.\Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it. response:	Why do you have that, Itachi?
context: Oh, Itachi.\I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi? response:	I know you have something like this on your back, too.
context: I've been looking everywhere for you.\Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too. response:	Hey.
context: Ta-da. Now show me the other half that you have.\That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey. response:	Don't touch me.
context: That map...\Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey.\Don't touch me. response:	You wanna see my back? Here.
context: Listen now, Dororo. Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey.\Don't touch me.\You wanna see my back? Here. response:	See? No map anywhere.
context: This is your papa's lifelong ambition.\Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey.\Don't touch me.\You wanna see my back? Here.\See? No map anywhere. response:	Boss.
context: Carry it on with you. And protect it.\Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey.\Don't touch me.\You wanna see my back? Here.\See? No map anywhere.\Boss. response:	If it's not on his back, it's in his head.
context: Why do you have that, Itachi?\I know you have something like this on your back, too.\Hey.\Don't touch me.\You wanna see my back? Here.\See? No map anywhere.\Boss.\If it's not on his back, it's in his head. response:	He's our only clue. We're taking him.
context: I know you have something like this on your back, too.\Hey.\Don't touch me.\You wanna see my back? Here.\See? No map anywhere.\Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him. response:	Let me go, dammit!
context: Hey.\Don't touch me.\You wanna see my back? Here.\See? No map anywhere.\Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit! response:	You'll pay for this.
context: Don't touch me.\You wanna see my back? Here.\See? No map anywhere.\Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this. response:	You don't stand a chance against my bro, you jerks!
context: You wanna see my back? Here.\See? No map anywhere.\Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks! response:	Still a chatty little brat, eh?
context: See? No map anywhere.\Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh? response:	Bro...
context: Boss.\If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro... response:	Betrayed this world
context: If it's not on his back, it's in his head.\He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro...\Betrayed this world response:	And it simmers within
context: He's our only clue. We're taking him.\Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro...\Betrayed this world\And it simmers within response:	Rupturing my innards
context: Let me go, dammit!\You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro...\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: You'll pay for this.\You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: You don't stand a chance against my bro, you jerks!\Still a chatty little brat, eh?\Bro...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: Still a chatty little brat, eh?\Bro...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: Bro...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	16 The story of Shiranui
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui response:	Almost there.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui\Almost there. response:	Itachi.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui\Almost there.\Itachi. response:	Get to sleep. I got a job for you tomorrow.
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui\Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow. response:	You're going to fill in the other half of this.
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui\Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this. response:	The place you're headed for, is it...?
