context: In the year 850... response:	The Colossal Titan reappeared and breached the wall.
context: In the year 850...\The Colossal Titan reappeared and breached the wall. response:	And once again, humanity could not stop a Titan invasion.
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion. response:	Soldiers fell, one after the next, before the Titan assault.
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault. response:	And then...
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then... response:	Eren! Hurry!
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry! response:	Eren fell victim to the Titans.
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren fell victim to the Titans. response:	Mikasa's amazing, though...
context: In the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though... response:	How does she move so fast?
context: The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast? response:	No, I knew she wasn't her usual calm self.
context: And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self. response:	I'll win, no matter what.
context: Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what. response:	I'll live, no matter what!
context: And then...\Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what! response:	When Mikasa faced certain death,
context: Eren! Hurry!\Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death, response:	a mysterious Titan appeared that attacked other Titans.
context: Eren fell victim to the Titans.\Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans. response:	Hearing the Heartbeat The Battle for Trost (4)
context: Mikasa's amazing, though...\How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4) response:	Okay, the starter device still works.
context: How does she move so fast?\No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works. response:	I gave you all my blades.
context: No, I knew she wasn't her usual calm self.\I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades. response:	But please let me keep this one.
context: I'll win, no matter what.\I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one. response:	I don't want to be eaten alive.
context: I'll live, no matter what!\When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive. response:	N-No...
context: When Mikasa faced certain death,\a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive.\N-No... response:	Armin...
context: a mysterious Titan appeared that attacked other Titans.\Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive.\N-No...\Armin... response:	I won't leave you here.
context: Hearing the Heartbeat The Battle for Trost (4)\Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive.\N-No...\Armin...\I won't leave you here. response:	B-But...
context: Okay, the starter device still works.\I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive.\N-No...\Armin...\I won't leave you here.\B-But... response:	Carrying someone,
context: I gave you all my blades.\But please let me keep this one.\I don't want to be eaten alive.\N-No...\Armin...\I won't leave you here.\B-But...\Carrying someone, response:	while leaping through a Titan-filled area
context: But please let me keep this one.\I don't want to be eaten alive.\N-No...\Armin...\I won't leave you here.\B-But...\Carrying someone,\while leaping through a Titan-filled area response:	Let's go!
context: I don't want to be eaten alive.\N-No...\Armin...\I won't leave you here.\B-But...\Carrying someone,\while leaping through a Titan-filled area\Let's go! response:	No...
context: N-No...\Armin...\I won't leave you here.\B-But...\Carrying someone,\while leaping through a Titan-filled area\Let's go!\No... response:	Stop it.
