context: What do you do!? response:	Do you all use cell phones?
context: What do you do!?\Do you all use cell phones? response:	What about you, Laika?
context: What do you do!?\Do you all use cell phones?\What about you, Laika? response:	Huh?
context: What do you do!?\Do you all use cell phones?\What about you, Laika?\Huh? response:	Super Market
context: What do you do!?\Do you all use cell phones?\What about you, Laika?\Huh?\Super Market response:	I understand..
context: What do you do!?\Do you all use cell phones?\What about you, Laika?\Huh?\Super Market\I understand.. response:	Ica-sama, what kind of clothes?
context: What do you do!?\Do you all use cell phones?\What about you, Laika?\Huh?\Super Market\I understand..\Ica-sama, what kind of clothes? response:	Hmm? What? What?
context: What do you do!?\Do you all use cell phones?\What about you, Laika?\Huh?\Super Market\I understand..\Ica-sama, what kind of clothes?\Hmm? What? What? response:	Yup! Where is the evidence on which I stand here I am, is I?
context: Do you all use cell phones?\What about you, Laika?\Huh?\Super Market\I understand..\Ica-sama, what kind of clothes?\Hmm? What? What?\Yup! Where is the evidence on which I stand here I am, is I? response:	So, it is I?
context: What about you, Laika?\Huh?\Super Market\I understand..\Ica-sama, what kind of clothes?\Hmm? What? What?\Yup! Where is the evidence on which I stand here I am, is I?\So, it is I? response:	Did you forget what happened before, you're useless in me from the forces you've beaten?
context: Huh?\Super Market\I understand..\Ica-sama, what kind of clothes?\Hmm? What? What?\Yup! Where is the evidence on which I stand here I am, is I?\So, it is I?\Did you forget what happened before, you're useless in me from the forces you've beaten? response:	- it's a command! Aqlaa your clothes and
context: Super Market\I understand..\Ica-sama, what kind of clothes?\Hmm? What? What?\Yup! Where is the evidence on which I stand here I am, is I?\So, it is I?\Did you forget what happened before, you're useless in me from the forces you've beaten?\- it's a command! Aqlaa your clothes and response:	This is what you love, right?
context: I understand..\Ica-sama, what kind of clothes?\Hmm? What? What?\Yup! Where is the evidence on which I stand here I am, is I?\So, it is I?\Did you forget what happened before, you're useless in me from the forces you've beaten?\- it's a command! Aqlaa your clothes and\This is what you love, right? response:	- A-Listen, I really
