context: All of the various economic response:	powers are hastily preparing to launch their forces.
context: All of the various economic\powers are hastily preparing to launch their forces. response:	So I see...
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see... response:	These AHSMB units will be our primary fighters!
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters! response:	Make sure they're in tip-top shape!
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape! response:	Yes, Boss!
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss! response:	Got it!
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss!\Got it! response:	Our fleets against theirs? Sounds exciting!
context: All of the various economic\powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting! response:	Accurate instructions are a must to
context: powers are hastily preparing to launch their forces.\So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to response:	keep our allies from falling into disarray.
context: So I see...\These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray. response:	You're always so uptight!
context: These AHSMB units will be our primary fighters!\Make sure they're in tip-top shape!\Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight! response:	You'll never get anywhere like that...
context: Make sure they're in tip-top shape!\Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that... response:	with the enemy or women.
context: Yes, Boss!\Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that...\with the enemy or women. response:	If you have time for idle chatter,
context: Got it!\Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter, response:	work on memorizing the enemy's formations!
context: Our fleets against theirs? Sounds exciting!\Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations! response:	Yeah, yeah.
context: Accurate instructions are a must to\keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah. response:	I have no idea what to expect from the Wulgaru.
