context: Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	A series of television signals originating from within the Macross
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\A series of television signals originating from within the Macross response:	piqued Britai's curiosity, and he sent a recon vessel to investigate.
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate. response:	The three soldiers aboard the recon ship were astonished
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished response:	by the television broadcast of the Miss Macross Contest.
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest. response:	Though their ship was destroyed by Hikaru Ichijo,
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo, response:	the soldiers now carry word of their shocking discovery back to Britai.
context: Macross! Macross!\Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai. response:	BLIND GAME
context: Macross!\A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME response:	So... there, uh, wasn't much cloth...
context: A series of television signals originating from within the Macross\piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth... response:	It was so thin and wispy...
context: piqued Britai's curiosity, and he sent a recon vessel to investigate.\The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy... response:	How can I put this?
context: The three soldiers aboard the recon ship were astonished\by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this? response:	It kind of makes you feel hot, like something shooting through your heart.
context: by the television broadcast of the Miss Macross Contest.\Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart. response:	I think it may be a new enemy weapon.
context: Though their ship was destroyed by Hikaru Ichijo,\the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon. response:	No, it's nothing as simple as a new weapon.
context: the soldiers now carry word of their shocking discovery back to Britai.\BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon. response:	Well, what is it then?
context: BLIND GAME\So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then? response:	It's...
context: So... there, uh, wasn't much cloth...\It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then?\It's... response:	Enough! I have no idea what they're talking about.
context: It was so thin and wispy...\How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then?\It's...\Enough! I have no idea what they're talking about. response:	It's most unfortunate that the recorder was destroyed.
context: How can I put this?\It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then?\It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed. response:	Should we send out another recon unit?
context: It kind of makes you feel hot, like something shooting through your heart.\I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then?\It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit? response:	As Archivist, I believe it may be more effective to collect samples.
context: I think it may be a new enemy weapon.\No, it's nothing as simple as a new weapon.\Well, what is it then?\It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples. response:	Captives?
context: No, it's nothing as simple as a new weapon.\Well, what is it then?\It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives? response:	Yes, sir.
context: Well, what is it then?\It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir. response:	That's not it at all!
context: It's...\Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir.\That's not it at all! response:	What the...?!
context: Enough! I have no idea what they're talking about.\It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir.\That's not it at all!\What the...?! response:	There's no way that was a new weapon!
context: It's most unfortunate that the recorder was destroyed.\Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir.\That's not it at all!\What the...?!\There's no way that was a new weapon! response:	That's the only thing it could have been!
context: Should we send out another recon unit?\As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir.\That's not it at all!\What the...?!\There's no way that was a new weapon!\That's the only thing it could have been! response:	Liar!
context: As Archivist, I believe it may be more effective to collect samples.\Captives?\Yes, sir.\That's not it at all!\What the...?!\There's no way that was a new weapon!\That's the only thing it could have been!\Liar! response:	What?!
context: Captives?\Yes, sir.\That's not it at all!\What the...?!\There's no way that was a new weapon!\That's the only thing it could have been!\Liar!\What?! response:	Stop that, you fools!
context: Yes, sir.\That's not it at all!\What the...?!\There's no way that was a new weapon!\That's the only thing it could have been!\Liar!\What?!\Stop that, you fools! response:	But Conda was...
context: That's not it at all!\What the...?!\There's no way that was a new weapon!\That's the only thing it could have been!\Liar!\What?!\Stop that, you fools!\But Conda was... response:	That bastard Warera started it all!
context: What the...?!\There's no way that was a new weapon!\That's the only thing it could have been!\Liar!\What?!\Stop that, you fools!\But Conda was...\That bastard Warera started it all! response:	It had to have been a new, secret weapon!
context: There's no way that was a new weapon!\That's the only thing it could have been!\Liar!\What?!\Stop that, you fools!\But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon! response:	Stop spouting garbage!
context: That's the only thing it could have been!\Liar!\What?!\Stop that, you fools!\But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage! response:	Look who's talking.
context: Liar!\What?!\Stop that, you fools!\But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking. response:	What?!
context: What?!\Stop that, you fools!\But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking.\What?! response:	Stop this! Your work here is finished, so get out!
context: Stop that, you fools!\But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking.\What?!\Stop this! Your work here is finished, so get out! response:	Yes, sir.
context: But Conda was...\That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking.\What?!\Stop this! Your work here is finished, so get out!\Yes, sir. response:	If we don't address this, and quickly, it could affect the ship's morale.
context: That bastard Warera started it all!\It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking.\What?!\Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale. response:	Do you have something in mind?
context: It had to have been a new, secret weapon!\Stop spouting garbage!\Look who's talking.\What?!\Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind? response:	It may entail treating our enemy a little roughly.
context: Stop spouting garbage!\Look who's talking.\What?!\Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly. response:	Roughly, eh? This sounds interesting.
context: Look who's talking.\What?!\Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting. response:	Exsedol, I'll hear more of this idea of yours in my quarters.
context: What?!\Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters. response:	Captain Global, having given up on trying to elude the pursuing Zentradi fleet,
context: Stop this! Your work here is finished, so get out!\Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters.\Captain Global, having given up on trying to elude the pursuing Zentradi fleet, response:	decides to lift radio silence.
context: Yes, sir.\If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters.\Captain Global, having given up on trying to elude the pursuing Zentradi fleet,\decides to lift radio silence. response:	With their transmissions no longer being jammed by the enemy,
context: If we don't address this, and quickly, it could affect the ship's morale.\Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters.\Captain Global, having given up on trying to elude the pursuing Zentradi fleet,\decides to lift radio silence.\With their transmissions no longer being jammed by the enemy, response:	the crew of the Macross successfully contacts UN Forces High Command.
context: Do you have something in mind?\It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters.\Captain Global, having given up on trying to elude the pursuing Zentradi fleet,\decides to lift radio silence.\With their transmissions no longer being jammed by the enemy,\the crew of the Macross successfully contacts UN Forces High Command. response:	I've received a signal from UN Forces High Command!
context: It may entail treating our enemy a little roughly.\Roughly, eh? This sounds interesting.\Exsedol, I'll hear more of this idea of yours in my quarters.\Captain Global, having given up on trying to elude the pursuing Zentradi fleet,\decides to lift radio silence.\With their transmissions no longer being jammed by the enemy,\the crew of the Macross successfully contacts UN Forces High Command.\I've received a signal from UN Forces High Command! response:	From High Command?
