context: I'm doing great! They decided to serialize my manga! response:	Yes, Hattori-san just told us. Congratulations!
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations! response:	Thank you, getting serialized feels great!
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great! response:	I'll do my best to catch up with you!
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you! response:	I think he's declared war...
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war... response:	Takahama-san and Fukuda-san. This is getting interesting.
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting. response:	Let's do our best to beat them!
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them! response:	You bet!
context: I'm doing great! They decided to serialize my manga!\Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet! response:	The results...
context: Yes, Hattori-san just told us. Congratulations!\Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet!\The results... response:	We're still fine.
context: Thank you, getting serialized feels great!\I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet!\The results...\We're still fine. response:	Dammit.
context: I'll do my best to catch up with you!\I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet!\The results...\We're still fine.\Dammit. response:	6th place is no good.
context: I think he's declared war...\Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet!\The results...\We're still fine.\Dammit.\6th place is no good. response:	Hey, if I could be with you right now
context: Takahama-san and Fukuda-san. This is getting interesting.\Let's do our best to beat them!\You bet!\The results...\We're still fine.\Dammit.\6th place is no good.\Hey, if I could be with you right now response:	Then I could keep my voice from fading
context: Let's do our best to beat them!\You bet!\The results...\We're still fine.\Dammit.\6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading response:	The goals I've set for myself seem too high to reach,
context: You bet!\The results...\We're still fine.\Dammit.\6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach, response:	and I feel like I've lost my way
context: The results...\We're still fine.\Dammit.\6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way response:	I'm relying on a broken compass and hiding in someone's shadow
context: We're still fine.\Dammit.\6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow response:	If we keep letting go of what we have to find something else,
context: Dammit.\6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else, response:	then I'm convinced we can never grow up
context: 6th place is no good.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up response:	Never
context: Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never response:	Everynight and Unite
context: Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Everynight and Unite response:	Understood!
context: The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Everynight and Unite\Understood! response:	We'll switch in Giri... Yes.
context: and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Everynight and Unite\Understood!\We'll switch in Giri... Yes. response:	Whew, that feels great!
context: I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Everynight and Unite\Understood!\We'll switch in Giri... Yes.\Whew, that feels great! response:	Just as Kiyoshi Knight is ending we have a new serialization.
context: If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Everynight and Unite\Understood!\We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization. response:	We're too cool!
context: then I'm convinced we can never grow up\Never\Everynight and Unite\Understood!\We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool! response:	The one with the motorcycle?
context: Never\Everynight and Unite\Understood!\We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle? response:	Yeah, it's about motorsports in a way...
context: Everynight and Unite\Understood!\We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way... response:	Um, Yuujiro-san.
