context: The old man's missing? response:	What happened here?
context: The old man's missing?\What happened here? response:	Looks like someone broke in.
context: The old man's missing?\What happened here?\Looks like someone broke in. response:	Maybe he was kidnapped?
context: The old man's missing?\What happened here?\Looks like someone broke in.\Maybe he was kidnapped? response:	Yukimura-sama? Are you kidding?
context: The old man's missing?\What happened here?\Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding? response:	They must have been quite skilled to accomplish this without us noticing.
context: The old man's missing?\What happened here?\Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing. response:	By the way, has anyone seen Rokuro this morning?
context: The old man's missing?\What happened here?\Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning? response:	No.
context: The old man's missing?\What happened here?\Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No. response:	No.
context: What happened here?\Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No.\No. response:	I don't care.
context: Looks like someone broke in.\Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No.\No.\I don't care. response:	Rokuro, too. This is serious.
context: Maybe he was kidnapped?\Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No.\No.\I don't care.\Rokuro, too. This is serious. response:	Yukimura-sama was not kidnapped.
context: Yukimura-sama? Are you kidding?\They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No.\No.\I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped. response:	Yukimura-sama left at dawn.
context: They must have been quite skilled to accomplish this without us noticing.\By the way, has anyone seen Rokuro this morning?\No.\No.\I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn. response:	He gave me a letter.
context: By the way, has anyone seen Rokuro this morning?\No.\No.\I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter. response:	A letter?
context: No.\No.\I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter.\A letter? response:	Good morning, warriors.
context: No.\I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter.\A letter?\Good morning, warriors. response:	While watching the sunrise,
context: I don't care.\Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter.\A letter?\Good morning, warriors.\While watching the sunrise, response:	I suddenly felt the desire to take a bath,
context: Rokuro, too. This is serious.\Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter.\A letter?\Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath, response:	so I decided to take a trip to the hot springs.
context: Yukimura-sama was not kidnapped.\Yukimura-sama left at dawn.\He gave me a letter.\A letter?\Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs. response:	To thank you for all the hard work you've been doing,
context: Yukimura-sama left at dawn.\He gave me a letter.\A letter?\Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing, response:	I'd like to invite you to my private baths.
context: He gave me a letter.\A letter?\Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths. response:	I've drawn you a map, so come as soon as you can.
context: A letter?\Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can. response:	Rokuro and I will go on ahead.
context: Good morning, warriors.\While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead. response:	See you at the hot springs.
context: While watching the sunrise,\I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs. response:	Yukimura.
context: I suddenly felt the desire to take a bath,\so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura. response:	Hot springs, hot springs.
context: so I decided to take a trip to the hot springs.\To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura.\Hot springs, hot springs. response:	Hot springs?!
context: To thank you for all the hard work you've been doing,\I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura.\Hot springs, hot springs.\Hot springs?! response:	Rokuro's with him?
context: I'd like to invite you to my private baths.\I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura.\Hot springs, hot springs.\Hot springs?!\Rokuro's with him? response:	Then this room's a mess because...
context: I've drawn you a map, so come as soon as you can.\Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura.\Hot springs, hot springs.\Hot springs?!\Rokuro's with him?\Then this room's a mess because... response:	He left suddenly without tidying up.
context: Rokuro and I will go on ahead.\See you at the hot springs.\Yukimura.\Hot springs, hot springs.\Hot springs?!\Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up. response:	That old man's unbelievable.
context: See you at the hot springs.\Yukimura.\Hot springs, hot springs.\Hot springs?!\Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable. response:	Much Ado About Nothing
context: Yukimura.\Hot springs, hot springs.\Hot springs?!\Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing response:	Everyone's been doing whatever the hell they want since we got here.
context: Hot springs, hot springs.\Hot springs?!\Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here. response:	Where'd Isanami go?
