context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	will set out on their journey as the war rages on
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow? response:	Slicing through the darkness, they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward response:	that blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross! response:	BOOBY TRAP
context: and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\BOOBY TRAP response:	The year was AD 1999.
context: will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\BOOBY TRAP\The year was AD 1999. response:	The object that had suddenly crashed into the earth
context: Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth response:	was a gigantic space battleship over 1,200 meters in length.
context: Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length. response:	The ship's technology was far in advance of mankind's own,
context: that blue planet that shines in the distance\Macross! Macross!\Macross!\BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own, response:	and while no trace of alien beings could be found aboard,
context: Macross! Macross!\Macross!\BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard, response:	it was clear that extraterrestrial civilizations did indeed exist beyond our planet
context: Macross!\BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet response:	and that they had made the stars their battlefield.
context: BOOBY TRAP\The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield. response:	This prompted both the founding of the Earth United Nations Government,
context: The year was AD 1999.\The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government, response:	which would take precedence over the interests of the individual nations,
context: The object that had suddenly crashed into the earth\was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations, response:	and a concerted effort to restore the hulking spacecraft.
context: was a gigantic space battleship over 1,200 meters in length.\The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft. response:	But the road to establishing the Earth UN Government wasn't an easy one,
context: The ship's technology was far in advance of mankind's own,\and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one, response:	and brush-fire wars sprang up across the world.
context: and while no trace of alien beings could be found aboard,\it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world. response:	Despite this, restoration of the battleship progressed steadily.
context: it was clear that extraterrestrial civilizations did indeed exist beyond our planet\and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily. response:	Finally, the long and painful Unification Wars came to an end,
context: and that they had made the stars their battlefield.\This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end, response:	and the Earth was once again at peace.
context: This prompted both the founding of the Earth United Nations Government,\which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace. response:	In time, this wrecked craft of alien design was rebuilt by humanity,
context: which would take precedence over the interests of the individual nations,\and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity, response:	and was reborn as the giant battleship Macross.
context: and a concerted effort to restore the hulking spacecraft.\But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross. response:	It is now ten years since the Macross crash-landed on Earth.
context: But the road to establishing the Earth UN Government wasn't an easy one,\and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth. response:	What's the matter, Mr. Mayor?
context: and brush-fire wars sprang up across the world.\Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor? response:	I was just thinking... Today may be the last day
context: Despite this, restoration of the battleship progressed steadily.\Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day response:	we'll get to see the Macross. I'll miss its constant presence.
context: Finally, the long and painful Unification Wars came to an end,\and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence. response:	Still, I wonder if that monstrosity will even fly?
context: and the Earth was once again at peace.\In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly? response:	And I wonder what will happen to our local businesses?
context: In time, this wrecked craft of alien design was rebuilt by humanity,\and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses? response:	Now, there's a VIP... someone who invested a lot in the Macross.
context: and was reborn as the giant battleship Macross.\It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross. response:	He's probably headed for the launch ceremony, don't you think?
context: It is now ten years since the Macross crash-landed on Earth.\What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think? response:	What's with you, Captain Global? Got a hangover?
context: What's the matter, Mr. Mayor?\I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover? response:	The citizens are out here to celebrate the launch of your ship.
context: I was just thinking... Today may be the last day\we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship. response:	Why aren't you showing some appreciation?
context: we'll get to see the Macross. I'll miss its constant presence.\Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation? response:	Huh? Oh, yes...
context: Still, I wonder if that monstrosity will even fly?\And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes... response:	Oh! 1st Lieutenant Hayase!
context: And I wonder what will happen to our local businesses?\Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes...\Oh! 1st Lieutenant Hayase! response:	It looks like the captain has arrived at the stage.
context: Now, there's a VIP... someone who invested a lot in the Macross.\He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes...\Oh! 1st Lieutenant Hayase!\It looks like the captain has arrived at the stage. response:	We have fifteen minutes until the ceremony starts.
context: He's probably headed for the launch ceremony, don't you think?\What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes...\Oh! 1st Lieutenant Hayase!\It looks like the captain has arrived at the stage.\We have fifteen minutes until the ceremony starts. response:	We might just make it.
context: What's with you, Captain Global? Got a hangover?\The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes...\Oh! 1st Lieutenant Hayase!\It looks like the captain has arrived at the stage.\We have fifteen minutes until the ceremony starts.\We might just make it. response:	I wonder what the captain has been doing this whole time?
context: The citizens are out here to celebrate the launch of your ship.\Why aren't you showing some appreciation?\Huh? Oh, yes...\Oh! 1st Lieutenant Hayase!\It looks like the captain has arrived at the stage.\We have fifteen minutes until the ceremony starts.\We might just make it.\I wonder what the captain has been doing this whole time? response:	Probably out partying, don't you think?
