context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Laxus started the Battle of Fairy Tail,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail, response:	a fierce struggle against rune traps and the Raijin Tribe.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe. response:	And now the only people left are Natsu and Gajeel who, for some reason, can't get out!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out! response:	But Erza's back, and Mystogan arrived in town as well!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out!\But Erza's back, and Mystogan arrived in town as well! response:	Although I'm still stoned...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out!\But Erza's back, and Mystogan arrived in town as well!\Although I'm still stoned... response:	You are good, Erza...
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out!\But Erza's back, and Mystogan arrived in town as well!\Although I'm still stoned...\You are good, Erza... response:	I never thought you would challenge me...
context: and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out!\But Erza's back, and Mystogan arrived in town as well!\Although I'm still stoned...\You are good, Erza...\I never thought you would challenge me... response:	If I defeat you, then everyone will return to normal!
context: Laxus started the Battle of Fairy Tail,\a fierce struggle against rune traps and the Raijin Tribe.\And now the only people left are Natsu and Gajeel who, for some reason, can't get out!\But Erza's back, and Mystogan arrived in town as well!\Although I'm still stoned...\You are good, Erza...\I never thought you would challenge me...\If I defeat you, then everyone will return to normal! response:	I wonder if you can?
