context: Right, I'll tell her later. response:	Because there are too little of clow cards that can talk.
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk. response:	' There wasn't any problem?' Your father came in for a second.
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second. response:	I see. Thank you.
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you. response:	I'm very tired!
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired! response:	You did very well. Today you transformed
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired!\You did very well. Today you transformed response:	four Sakura cards without a breath!
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath! response:	That is true. But I don't know with this speed,
context: Right, I'll tell her later.\Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed, response:	when I will transform
context: Because there are too little of clow cards that can talk.\' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform response:	all of the cards.
context: ' There wasn't any problem?' Your father came in for a second.\I see. Thank you.\I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform\all of the cards. response:	You can't,
context: I see. Thank you.\I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform\all of the cards.\You can't, response:	Don't even think about transforming all the cards at once again!
context: I'm very tired!\You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform\all of the cards.\You can't,\Don't even think about transforming all the cards at once again! response:	But if I don't hurry
context: You did very well. Today you transformed\four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform\all of the cards.\You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry response:	then the cards well lose their power.
context: four Sakura cards without a breath!\That is true. But I don't know with this speed,\when I will transform\all of the cards.\You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power. response:	I don't want that to happen.
context: That is true. But I don't know with this speed,\when I will transform\all of the cards.\You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power.\I don't want that to happen. response:	They won't be losing their power anytime soon.
context: when I will transform\all of the cards.\You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon. response:	This I know.
context: all of the cards.\You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon.\This I know. response:	' I would like to ask'' What?
context: You can't,\Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What? response:	There is someone coming!
context: Don't even think about transforming all the cards at once again!\But if I don't hurry\then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What?\There is someone coming! response:	Hurry and go back! Hurry and go back!
context: But if I don't hurry\then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back! response:	Yes.
context: then the cards well lose their power.\I don't want that to happen.\They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back!\Yes. response:	You still haven't slept? Hurry up and sleep.
context: I don't want that to happen.\They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep. response:	You are a big monster.
context: They won't be losing their power anytime soon.\This I know.\' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster. response:	Hurry up and sleep then.
context: This I know.\' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then. response:	Tomorrow I have to go to school early
context: ' I would like to ask'' What?\There is someone coming!\Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early response:	Change into your pajamas then.
context: There is someone coming!\Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then. response:	Sakura, I've been thinking.
context: Hurry and go back! Hurry and go back!\Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking. response:	Does your brother know what we are doing?
context: Yes.\You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing? response:	I'm gonna be late!
context: You still haven't slept? Hurry up and sleep.\You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late! response:	Are you listening? You brother he'
context: You are a big monster.\Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he' response:	Tell me later.
context: Hurry up and sleep then.\Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he'\Tell me later. response:	I think that
context: Tomorrow I have to go to school early\Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he'\Tell me later.\I think that response:	so you should be'
context: Change into your pajamas then.\Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he'\Tell me later.\I think that\so you should be' response:	he also has some powers
context: Sakura, I've been thinking.\Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he'\Tell me later.\I think that\so you should be'\he also has some powers response:	Yeah brother is very talented.
context: Does your brother know what we are doing?\I'm gonna be late!\Are you listening? You brother he'\Tell me later.\I think that\so you should be'\he also has some powers\Yeah brother is very talented. response:	Piano, Drawing,
context: I'm gonna be late!\Are you listening? You brother he'\Tell me later.\I think that\so you should be'\he also has some powers\Yeah brother is very talented.\Piano, Drawing, response:	but he still loves me a lot.
context: Are you listening? You brother he'\Tell me later.\I think that\so you should be'\he also has some powers\Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot. response:	Thats not what I'm saying!
context: Tell me later.\I think that\so you should be'\he also has some powers\Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying! response:	Calm down!
context: I think that\so you should be'\he also has some powers\Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying!\Calm down! response:	If he knew then he would ask me a lot of questions.
context: so you should be'\he also has some powers\Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions. response:	Good Morning Dad, Brother
context: he also has some powers\Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother response:	Morning, Sakura-san
context: Yeah brother is very talented.\Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san response:	MORNING Brother!
context: Piano, Drawing,\but he still loves me a lot.\Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother! response:	Amennn'
context: but he still loves me a lot.\Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother!\Amennn' response:	Hurry up and eat.
context: Thats not what I'm saying!\Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother!\Amennn'\Hurry up and eat. response:	Oh, it looks like
context: Calm down!\If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother!\Amennn'\Hurry up and eat.\Oh, it looks like response:	somebody is hungry.
context: If he knew then he would ask me a lot of questions.\Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother!\Amennn'\Hurry up and eat.\Oh, it looks like\somebody is hungry. response:	You should save some food for other people.
context: Good Morning Dad, Brother\Morning, Sakura-san\MORNING Brother!\Amennn'\Hurry up and eat.\Oh, it looks like\somebody is hungry.\You should save some food for other people. response:	Because you are a monster.
context: Morning, Sakura-san\MORNING Brother!\Amennn'\Hurry up and eat.\Oh, it looks like\somebody is hungry.\You should save some food for other people.\Because you are a monster. response:	How mean of brother!
context: MORNING Brother!\Amennn'\Hurry up and eat.\Oh, it looks like\somebody is hungry.\You should save some food for other people.\Because you are a monster.\How mean of brother! response:	He probably knows but he's not saying anything!
context: Amennn'\Hurry up and eat.\Oh, it looks like\somebody is hungry.\You should save some food for other people.\Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything! response:	It's something that he would do!
context: Hurry up and eat.\Oh, it looks like\somebody is hungry.\You should save some food for other people.\Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do! response:	It's what Kero-chan thought.
context: Oh, it looks like\somebody is hungry.\You should save some food for other people.\Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought. response:	I'm leaving! Be careful.
context: somebody is hungry.\You should save some food for other people.\Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful. response:	It's very cold!
context: You should save some food for other people.\Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold! response:	It's a Christmas Tree!
context: Because you are a monster.\How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree! response:	This years who should I give Christmas presents to?
context: How mean of brother!\He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to? response:	Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,
context: He probably knows but he's not saying anything!\It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan, response:	and Dad, Brother and Yukito-san
context: It's something that he would do!\It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san response:	It seems like there's someone I'm missing.
context: It's what Kero-chan thought.\I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing. response:	' Who is it?' Hey.
context: I'm leaving! Be careful.\It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey. response:	Do you know what you're getting for dad?
context: It's very cold!\It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad? response:	Not yet. What should I get?
context: It's a Christmas Tree!\This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get? response:	Dad really wants a money bag.
context: This years who should I give Christmas presents to?\Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag. response:	So he can use it.
context: Tomoyo-chan, Chiharu-chan, Rika-chan, Naoko-chan,\and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag.\So he can use it. response:	Alright, I am going to buy a money bag for dad!
context: and Dad, Brother and Yukito-san\It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad! response:	' Do you have enough money?' Is it expensive?
context: It seems like there's someone I'm missing.\' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive? response:	It's more than you can afford.
context: ' Who is it?' Hey.\Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford. response:	I really want to make dad happy,
context: Do you know what you're getting for dad?\Not yet. What should I get?\Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy, response:	but I don't have enough money. What do I do?
context: Not yet. What should I get?\Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do? response:	I'm also getting dad a money bag for a Christmas present.
context: Dad really wants a money bag.\So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present. response:	' We can give it to him together.' Really?
context: So he can use it.\Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really? response:	I'm thinking we should go buy it today.
context: Alright, I am going to buy a money bag for dad!\' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today. response:	I want to go too!
context: ' Do you have enough money?' Is it expensive?\It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too! response:	Yukito-san isn't coming? What's wrong?
context: It's more than you can afford.\I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong? response:	Then at 4:00 I'll come here and wait for you.
context: I really want to make dad happy,\but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you. response:	I'll see you at 4.
context: but I don't have enough money. What do I do?\I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4. response:	Morning.
context: I'm also getting dad a money bag for a Christmas present.\' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning. response:	Morning Yuki.
context: ' We can give it to him together.' Really?\I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning.\Morning Yuki. response:	Hey Yuki, Yuki'
