context: I was so worried... response:	I thought you weren't coming back anymore, Kagome.
context: I was so worried...\I thought you weren't coming back anymore, Kagome. response:	I'm sorry, Shippo.
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo. response:	Hey you, Inuyasha!
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha! response:	Did you ask Kagome for forgiveness?!
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?! response:	Shaddup!
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup! response:	I wonder how those two made up?
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up? response:	Well... probably Kagome gave in.
context: I was so worried...\I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in. response:	What?!
context: I thought you weren't coming back anymore, Kagome.\I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in.\What?! response:	You mean, she forgave Inuyasha's indiscretion with Kikyo?
context: I'm sorry, Shippo.\Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo? response:	I can't believe it!
context: Hey you, Inuyasha!\Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it! response:	How can she endure it?
context: Did you ask Kagome for forgiveness?!\Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it? response:	Inuyasha was quite depressed about it.
context: Shaddup!\I wonder how those two made up?\Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it. response:	I guess she didn't want to back him into a corner.
context: I wonder how those two made up?\Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner. response:	Well, he's usually in some tight spot.
context: Well... probably Kagome gave in.\What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot. response:	What're you looking at?!
context: What?!\You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?! response:	He seems to be repenting just a bit.
context: You mean, she forgave Inuyasha's indiscretion with Kikyo?\I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit. response:	This is where Naraku's castle used to be?
context: I can't believe it!\How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be? response:	Traces of Naraku's miasma still remain. So there's no mistake.
context: How can she endure it?\Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake. response:	But... there's nary a hint of the remains.
context: Inuyasha was quite depressed about it.\I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains. response:	Was Naraku's castle really here?
context: I guess she didn't want to back him into a corner.\Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here? response:	You're right.
context: Well, he's usually in some tight spot.\What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right. response:	When you think about it, we've been lured to a fake castle before.
context: What're you looking at?!\He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before. response:	Was what we saw just an illusion?
context: He seems to be repenting just a bit.\This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion? response:	No, you're wrong.
context: This is where Naraku's castle used to be?\Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong. response:	Huh?
context: Traces of Naraku's miasma still remain. So there's no mistake.\But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong.\Huh? response:	Sango!
context: But... there's nary a hint of the remains.\Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong.\Huh?\Sango! response:	There's no mistake. Naraku's castle was here.
context: Was Naraku's castle really here?\You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong.\Huh?\Sango!\There's no mistake. Naraku's castle was here. response:	Huh? Sango, what's?
context: You're right.\When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong.\Huh?\Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's? response:	What's up? Found something?
context: When you think about it, we've been lured to a fake castle before.\Was what we saw just an illusion?\No, you're wrong.\Huh?\Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something? response:	My father's armor.
context: Was what we saw just an illusion?\No, you're wrong.\Huh?\Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something?\My father's armor. response:	That day, we slayers were lured to Naraku's castle.
context: No, you're wrong.\Huh?\Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle. response:	Hiraikotsu!
context: Huh?\Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu! response:	Me, too!
context: Sango!\There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too! response:	And my father and all the others were slain.
context: There's no mistake. Naraku's castle was here.\Huh? Sango, what's?\What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too!\And my father and all the others were slain. response:	They were killed by my younger brother, Kohaku.
context: Huh? Sango, what's?\What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku. response:	His mind was being controlled by Naraku.
context: What's up? Found something?\My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku. response:	Huh?!
context: My father's armor.\That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?! response:	Sister!
context: That day, we slayers were lured to Naraku's castle.\Hiraikotsu!\Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?!\Sister! response:	Kohaku!
context: Hiraikotsu!\Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?!\Sister!\Kohaku! response:	Their bodies were buried in the corner of the courtyard.
context: Me, too!\And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?!\Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard. response:	So this is...
context: And my father and all the others were slain.\They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?!\Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is... response:	Sango...
context: They were killed by my younger brother, Kohaku.\His mind was being controlled by Naraku.\Huh?!\Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is...\Sango... response:	Miroku?
context: His mind was being controlled by Naraku.\Huh?!\Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is...\Sango...\Miroku? response:	We must not leave your father and the others in this tainted ground.
context: Huh?!\Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is...\Sango...\Miroku?\We must not leave your father and the others in this tainted ground. response:	Miroku...
context: Sister!\Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is...\Sango...\Miroku?\We must not leave your father and the others in this tainted ground.\Miroku... response:	We will find another burial ground for them and offer prayers.
context: Kohaku!\Their bodies were buried in the corner of the courtyard.\So this is...\Sango...\Miroku?\We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers. response:	Is that all right?
context: Their bodies were buried in the corner of the courtyard.\So this is...\Sango...\Miroku?\We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers.\Is that all right? response:	Yes, thank you.
context: So this is...\Sango...\Miroku?\We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you. response:	Miroku.
context: Sango...\Miroku?\We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you.\Miroku. response:	So this is where Naraku's castle was... But what of its occupants?
context: Miroku?\We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants? response:	Sango's brother, Kohaku... who was controlled by Naraku.
