context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures). response:	Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question response:	Geez, it sure is raining hard.
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard. response:	It's so damp and disgusting.
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting. response:	So that means the entire Honshu region is now in the rainy season.
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season. response:	That's what they say.
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say. response:	The weather will be unstable everywhere,
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere, response:	so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.
context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures).\Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides. response:	It's going to be raining hard for a while.
context: Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question\Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while. response:	Doing the laundry and stuff is going to get so tiresome.
context: Geez, it sure is raining hard.\It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome. response:	Ah, I'll answer it.
context: It's so damp and disgusting.\So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it. response:	What happened? Didn't you head straight home?
